id,name,Position,ADP,Team
7949,Gabriel Davis,WR,,JAX
1004654,Adonai Mitchell,WR,,IND
10496,Joshua Palmer,WR,,LAC
4944,Dallas Goedert,TE,,PHI
998,Austin Ekeler,RB,,WAS
1016,Mike Williams,WR,,NYJ
1000981,Zach Charbonnet,RB,,SEA
1002819,Blake Corum,RB,,LAR
1315,Ezekiel Elliott,RB,,DAL
1001011,Ty Chandler,RB,,MIN
1004642,MarShawn Lloyd,RB,,GB
1000984,Tyler Allgeier,RB,,ATL
1002805,Josh Downs,WR,,IND
8052,Rico Dowdle,RB,,DAL
10092,Pat Freiermuth,TE,,PIT
7123,T.J. Hockenson,TE,,MIN
1004669,Jaylen Wright,RB,,MIA
5460,Gus Edwards,RB,,LAC
867,Brandin Cooks,WR,,DAL
1004644,Ray Davis,RB,,BUF
10050,Chuba Hubbard,RB,,CAR
1004656,Ja'Lynn Polk,WR,,NE
1403,Kirk Cousins,QB,,ATL
1002854,Kendre Miller,RB,,NO
7876,Justin Herbert,QB,,LAC
5261,Baker Mayfield,QB,,TB
7923,Antonio Gibson,RB,,NE
5258,Nick Chubb,RB,,CLE
7882,Jerry Jeudy,WR,,CLE
1000979,Jerome Ford,RB,,CLE
1001067,Isaiah Likely,TE,,BAL
5223,Dalton Schultz,TE,,HOU
1002,Hunter Henry,TE,,NE
7879,Cole Kmet,TE,,CHI
1001025,Wan'Dale Robinson,WR,,NYG
1004706,Luke McCaffrey,WR,,WAS
1004666,Roman Wilson,WR,,PIT
1004655,Troy Franklin,WR,,DEN
1004660,Malachi Corley,WR,,NYJ
1001020,Jahan Dotson,WR,,WAS
10056,Khalil Herbert,RB,,CHI
1002853,Roschon Johnson,RB,,CHI
1004712,Javon Baker,WR,,NE
1002791,Will Levis,QB,,TEN
1002824,Marvin Mims Jr.,WR,,DEN
7124,Daniel Jones,QB,,NYG
1618,Matthew Stafford,QB,,LAR
1362,Geno Smith,QB,,SEA
1651,Aaron Rodgers,QB,,NYJ
1207,Deshaun Watson,QB,,CLE
1001045,Michael Wilson,WR,,ARI
1003224,Andrei Iosivas,WR,,CIN
1002834,Jermaine Burton,WR,,CIN
1002862,Luke Musgrave,TE,,GB
1004709,Ben Sinnott,TE,,WAS
1301,Jonnu Smith,TE,,MIA
5327,Tyler Conklin,TE,,NYJ
1001233,Chig Okonkwo,TE,,TEN
7126,Noah Fant,TE,,SEA
8240,Juwan Johnson,TE,,NO
1637,Taysom Hill,TE,,NO
1002842,Jalen McMillan,WR,,TB
1004661,Xavier Legette,WR,,CAR
1684,Adam Thielen,WR,,CAR
1004640,Audric Estime,RB,,DEN
10058,Elijah Mitchell,RB,,SF
1003384,Deneric Prince,RB,,KC
1004639,Braelon Allen,RB,,NYJ
1004638,Bucky Irving,RB,,TB
1004679,Kimani Vidal,RB,,LAC
1003146,Evan Hull,RB,,IND
1003431,Jaleel McLaughlin,RB,,DEN
1001066,Cade Otton,TE,,TB
1004698,Malik Washington,WR,,MIA
7351,Greg Dortch,WR,,ARI
1002794,Quentin Johnston,WR,,LAC
973,Demarcus Robinson,WR,,LAR
1004659,Devontez Walker,WR,,BAL
10065,Rashod Bateman,WR,,BAL
1004667,Ricky Pearsall,WR,,SF
10086,Justin Fields,QB,,PIT
1004633,Bo Nix,QB,,DEN
1004631,Drake Maye,QB,,NE
5388,Sam Darnold,QB,,MIN
864,Jacoby Brissett,QB,,NE
1001060,Bo Melton,WR,,GB
1004927,Erick All,TE,,CIN
1003154,Tucker Kraft,TE,,GB
1002795,Michael Mayer,TE,,LV
1004674,Rasheen Ali,RB,,BAL
1021,Derek Carr,QB,,NO
1001214,Jalen Nailor,WR,,MIN
7894,J.K. Dobbins,RB,,LAC
1002789,Bryce Young,QB,,CAR
1004632,J.J. McCarthy,QB,,MIN
1002857,A.T. Perry,WR,,NO
1003207,Demario Douglas,WR,,NE
1499,Kendrick Bourne,WR,,NE
1002820,Jacob Cowing,WR,,SF
1190,D'Onta Foreman,RB,,CLE
1003214,Aidan O'Connell,QB,,LV
1001187,Greg Dulcich,TE,,DEN
1562,Russell Wilson,QB,,PIT
1421,Samaje Perine,RB,,DEN
1001023,Jalen Tolbert,WR,,DAL
1003202,Jalen Brooks,WR,,DAL
1004886,Ryan Flournoy,WR,,DAL
1004727,Theo Johnson,TE,,NYG
1004671,Jawhar Jordan,RB,,HOU
1002860,Eric Gray,RB,,NYG
1002818,Tank Bigsby,RB,,JAX
1004647,Ja'Tavion Sanders,TE,,CAR
1003225,Charlie Jones,WR,,CIN
1004672,Dylan Laube,RB,,LV
1004641,Will Shipley,RB,,PHI
1004884,Tyrone Tracy Jr.,RB,,NYG
10048,Kenneth Gainwell,RB,,PHI
1000961,Sam Howell,QB,,SEA
1004753,Isaac Guerendo,RB,,SF
10066,Rondale Moore,WR,,ATL
1003199,Trey Palmer,WR,,TB
7147,Alexander Mattison,RB,,LV
1002799,Jalin Hyatt,WR,,NYG
1004695,Jamari Thrash,WR,,CLE
1004673,Emani Bailey,RB,,KC
7150,Dawson Knox,TE,,BUF
1377,Zach Ertz,TE,,WAS
1004888,Tahj Washington,WR,,MIA
7174,Ty Johnson,RB,,BUF
7940,Darnell Mooney,WR,,ATL
1004694,Blake Watson,RB,,DEN
1003407,Keaton Mitchell,RB,,BAL
