Id,Name,Position,Team,ADP,rank
1213727,Rome Odunze,WR,CHI,70.1,65.0
1168926,Sam LaPorta,TE,DET,68.1,68.5
946739,David Montgomery,RB,DET,72.4,69.0
880151,Jakobi Meyers,WR,LV,75.6,69.0
1109708,Tyrone Tracy Jr.,RB,NYG,81.7,69.2
1069808,D'Andre Swift,RB,CHI,64.1,71.5
741314,Aaron Jones,RB,MIN,76.6,74.0
1229083,Tyler Warren,TE,IND,75.6,74.375
1162537,Breece Hall,RB,NYJ,51.1,75.33
839031,Patrick Mahomes,QB,KC,73.1,75.5
867009,Jauan Jennings,WR,SF,87.9,76.0
1215077,Josh Downs,WR,IND,103.7,76.925
1110681,Justin Fields,QB,NYJ,109.9,77.2
1123398,Jayden Reed,WR,GB,105.4,79.475
1164530,Zach Charbonnet,RB,SEA,93.8,80.0
923915,T.J. Hockenson,TE,MIN,84.7,81.5
448240,Travis Kelce,TE,KC,79.4,83.0
1130603,Khalil Shakir,WR,BUF,92.1,84.0
1176443,Jaylen Warren,RB,PIT,92.7,84.0
978577,Travis Etienne,RB,JAX,101.0,84.575
1181874,Tucker Kraft,TE,GB,114.0,86.7
748070,Baker Mayfield,QB,TB,80.9,87.0
1121761,Brock Purdy,QB,SF,101.2,87.5
879799,Kyler Murray,QB,ARI,98.5,89.0
1191186,Jacory Croskey-Merritt,RB,WAS,85.9,89.60000000000001
1378821,Colston Loveland,TE,CHI,108.2,90.0
976513,J.K. Dobbins,RB,DEN,102.0,90.1
1116001,Jordan Mason,RB,MIN,88.6,91.5
820699,Mark Andrews,TE,BAL,96.9,92.0
911348,Michael Pittman,WR,IND,95.5,92.5
945633,DK Metcalf,WR,PIT,53.3,92.7
1280316,Cam Skattebo,RB,NYG,120.6,92.80000000000001
1378898,Jaydon Blue,RB,DAL,141.5,92.82
832098,David Njoku,TE,CLE,101.9,93.075
1287599,J.J. McCarthy,QB,MIN,123.9,94.77499999999999
1161899,Bo Nix,QB,DEN,84.9,95.0
591816,Dak Prescott,QB,DAL,90.2,95.0
1381902,Kaleb Johnson,RB,PIT,85.7,96.5
1325231,Braelon Allen,RB,NYJ,125.5,97.24000000000001
1274492,Jayden Higgins,WR,HOU,113.8,99.0
1286445,Caleb Williams,QB,CHI,111.7,100.5
727837,Jared Goff,QB,DET,105.1,102.0
1322431,Keon Coleman,WR,BUF,94.0,103.5
1327169,Bhayshul Tuten,RB,JAX,144.2,103.68
1399910,Dylan Sampson,RB,CLE,147.7,104.03999999999999
791365,Dallas Goedert,TE,PHI,142.5,104.975
923412,Rashid Shaheed,WR,NO,115.7,106.0
910562,Justin Herbert,QB,LAC,121.1,107.0
1286803,Drake Maye,QB,NE,113.2,108.5
698227,Cooper Kupp,WR,SEA,88.6,109.2
1248031,Trey Benson,RB,ARI,142.5,112.455
865801,Christian Kirk,WR,HOU,120.0,113.0
1106832,Isiah Pacheco,RB,KC,64.8,113.25
912137,Jordan Love,QB,GB,130.4,114.0
912027,Darnell Mooney,WR,ATL,132.7,115.0
1214084,C.J. Stroud,QB,HOU,126.0,116.0
1107881,Javonte Williams,RB,DAL,113.3,116.4
1110711,Trevor Lawrence,QB,JAX,131.8,118.5
790004,Austin Ekeler,RB,WAS,124.2,120.27499999999999
557210,Keenan Allen,WR,LAC,108.3,120.5
1377732,Luther Burden III,WR,CHI,134.8,122.0
1213799,Marvin Mims Jr.,WR,DEN,115.9,123.5
835127,Chris Godwin,WR,TB,116.9,123.5
1135513,Dalton Kincaid,TE,BUF,130.5,123.5
749185,Evan Engram,TE,DEN,93.3,123.6
1065361,Jake Ferguson,TE,DAL,136.1,130.0
1164875,Wan'Dale Robinson,WR,NYG,165.6,130.475
1107478,Michael Penix Jr.,QB,ATL,138.2,130.5
1108208,Rashod Bateman,WR,BAL,120.5,131.5
1165229,Ray Davis,RB,BUF,154.2,132.75
1287636,Will Shipley,RB,PHI,181.1,133.875
973947,Tua Tagovailoa,QB,MIA,146.2,134.0
1215035,Tank Bigsby,RB,JAX,130.3,134.0
1169430,Tyjae Spears,RB,TEN,169.2,136.85
503177,Zach Ertz,TE,WAS,144.6,137.275
1250886,Kyle Monangai,RB,CHI,217.8,139.64999999999998
1123026,Kyle Pitts,TE,ATL,125.2,140.0
1222789,Keaton Mitchell,RB,BAL,190.2,140.04000000000002
1227157,Kyle Williams,WR,NE,172.6,140.4
1228691,Cam Ward,QB,TEN,150.4,141.5
1106374,Chig Okonkwo,TE,TEN,169.5,141.95
1059612,Josh Palmer,WR,BUF,148.6,144.5
1229343,Rachaad White,RB,TB,163.4,145.0
1122653,Romeo Doubs,WR,GB,154.7,145.5
1213257,Bryce Young,QB,CAR,147.9,146.5
1218753,Jalen Coker,WR,CAR,205.5,147.04999999999998
513856,Geno Smith,QB,LV,156.9,147.5
976220,Marquise Brown,WR,KC,168.3,149.0
1131198,Tyler Allgeier,RB,ATL,166.8,150.0
1108998,Dameon Pierce,RB,HOU,231.0,150.0
323205,Matthew Stafford,QB,LAR,164.8,150.5
1175693,Demario Douglas,WR,NE,146.3,152.5
1164940,Brenton Strange,TE,JAX,154.8,152.5
1107034,Brandon Aiyuk,WR,SF,147.4,159.0
822857,Nick Chubb,RB,HOU,120.8,159.5
744425,Hunter Henry,TE,NE,161.9,159.5
880026,Sam Darnold,QB,SEA,164.0,159.5
1223393,Tory Horton,WR,SEA,197.5,159.79999999999998
973964,Najee Harris,RB,LAC,164.8,160.0
1180321,Xavier Legette,WR,CAR,172.3,162.5
1377766,Ollie Gordon II,RB,MIA,151.0,164.35
1124664,Cedric Tillman,WR,CLE,158.4,167.5
1395319,Elic Ayomanor,WR,TEN,191.0,167.875
933480,Rico Dowdle,RB,CAR,175.9,169.5
973966,Brian Robinson,RB,SF,120.2,171.0
743749,Jonnu Smith,TE,PIT,176.3,171.0
1049263,Cade Otton,TE,TB,173.3,171.0
1286164,Dont'e Thornton Jr.,WR,LV,158.7,171.5
1125737,Jerome Ford,RB,CLE,163.8,173.5
733643,Adam Thielen,WR,CAR,142.6,174.5
1441362,Isaac TeSlaa,WR,DET,174.0,174.5
1116662,Pat Freiermuth,TE,PIT,209.7,175.1
1213865,Quentin Johnston,WR,LAC,184.0,177.5
213957,Aaron Rodgers,QB,PIT,179.6,179.5
1163273,Jordan Whittington,WR,LAR,223.0,180.0
1303569,DJ Giddens,RB,IND,204.6,180.5
1381263,Mason Taylor,TE,NYJ,184.3,182.0
1125111,Isaiah Likely,TE,BAL,177.0,182.5
1228730,Tahj Brooks,RB,CIN,204.2,185.25
880557,Darius Slayton,WR,NYG,209.6,187.0
1213867,Kendre Miller,RB,NO,222.8,187.0
1305866,Pat Bryant,WR,DEN,182.2,188.5
1174682,Rhamondre Stevenson,RB,NE,139.7,189.0
1231652,Woody Marks,RB,HOU,177.7,189.0
836152,Mike Gesicki,TE,CIN,192.2,191.0
1403491,Jalen Royals,WR,KC,225.7,193.375
1319185,Jarquez Hunter,RB,LAR,226.5,194.75
923109,Justice Hill,RB,BAL,200.3,195.5
1214633,Tre Harris,WR,LAC,162.5,195.75
1113403,Chris Rodriguez Jr.,RB,WAS,183.8,196.0
1326628,Ja'Tavion Sanders,TE,CAR,202.6,196.0
1313668,Brashard Smith,RB,KC,220.9,196.17499999999998
746613,Kareem Hunt,RB,KC,190.4,196.5
879981,Daniel Jones,QB,IND,187.6,198.0
1286370,Jaylin Noel,WR,HOU,221.3,198.0
1214689,Jaylin Lane,WR,WAS,229.0,200.0
1286179,Terrance Ferguson,TE,LAR,224.0,200.0
1163265,Roschon Johnson,RB,CHI,214.9,200.5
1394752,Harold Fannin Jr.,TE,CLE,211.1,201.0
1286176,Troy Franklin,WR,DEN,202.7,202.0
884609,Juwan Johnson,TE,NO,221.9,202.5
1123529,Michael Wilson,WR,ARI,205.4,203.0
1229540,Blake Corum,RB,LAR,212.5,203.0
1107027,Alec Pierce,WR,IND,185.6,205.5
1286260,Jaxson Dart,QB,NYG,189.7,208.5
560241,DeAndre Hopkins,WR,BAL,193.5,211.0
1107878,Dyami Brown,WR,JAX,217.9,211.5
1214414,Theo Johnson,TE,NYG,212.9,215.0
746491,Zay Jones,WR,AZ,229.0,216.0
650914,Amari Cooper,WR,LV,192.5,220.5
1228633,Sean Tucker,RB,TB,220.2,221.0
924261,Miles Sanders,RB,DAL,225.2,222.0
830523,Dalton Schultz,TE,HOU,212.6,223.0
1383807,Quinshon Judkins,RB,CLE,134.8,224.25
822367,Josh Reynolds,WR,NYJ,229.3,224.5
1394803,Trevor Etienne,RB,CAR,229.3,225.0
1286840,Elijah Arroyo,TE,SEA,204.5,226.0
1285908,Adonai Mitchell,WR,IND,225.3,226.5
605242,Tyler Lockett,WR,TEN,196.3,227.0
604176,Tyler Higbee,TE,LAR,222.7,229.0
1106760,Tutu Atwell,WR,LAR,228.3,229.5
1172428,Dontayvion Wicks,WR,GB,228.6,231.0
1286046,Jack Bech,WR,LV,210.4,231.0
1214689,Jaylin Lane,WR,WAS,227.4,231.0
867759,Ray-Ray McCloud,WR,ATL,212.3,231.5
1124851,Andrei Iosivas,WR,CIN,200.2,237.0
1164788,Devaughn Vele,WR,NO,228.9,238.0
1215022,Anthony Richardson,QB,IND,214.3,239.5
1229669,Roman Wilson,WR,PIT,225.8,240.0
600191,Darren Waller,TE,MIA,200.9,241.0
1213362,Kayshon Boutte,WR,NE,229.0,241.0
1213872,Savion Williams,WR,GB,227.9,247.5
1214405,Keandre Lambert-Smith,WR,LAC,224.6,256.0
923911,Noah Fant,TE,CIN,230.1,257.5
820727,Joe Mixon,RB,HOU,118.2,292.5
