name,position,team,value
"Dallas Goedert",TE,PHI,207.5143
2023.1.11,0,0,151.8100
"Mike Evans",WR,TB,136.6083
"Rachaad White",RB,TB,149.0875
"Dalton Kincaid",TE,BUF,196.5957
2023.1.12,0,0,143.8200
"Rashod Bateman",WR,BAL,123.7435
2023.2.01,0,0,135.8300
"Joe Mixon",RB,CIN,133.6310
"Keenan Allen",WR,LAC,117.7615
"Mac Jones",QB,NE,121.0251
"Cam Akers",RB,LAR,128.7122
2023.2.02,0,0,127.8400
2023.2.early,0,0,123.8450
"Pat Freiermuth",TE,PIT,166.6604
2023.2.03,0,0,119.8500
"Matthew Stafford",QB,LAR,109.3079
"Mike Williams",WR,LAC,102.1002
2024.2,0,0,115.0792
"Desmond Ridder",QB,ATL,106.9021
2023.2.04,0,0,111.8600
"Alexander Mattison",RB,MIN,110.3389
"Zach Charbonnet",RB,SEA,109.7741
"Dalvin Cook",RB,MIN,108.8980
"Alvin Kamara",RB,NO,106.1808
"Isiah Pacheco",RB,KC,106.0913
"DeAndre Hopkins",WR,FA,94.5880
"AJ Dillon",RB,GB,104.4420
2023.2.05,0,0,103.8700
"Devon Achane",RB,MIA,97.7208
"Kendre Miller",RB,NO,97.4610
2023.2.06,0,0,95.8800
"Kadarius Toney",WR,KC,84.8359
"JuJu Smith-Schuster",WR,NE,83.2375
"Courtland Sutton",WR,DEN,82.8695
"James Cook",RB,BUF,91.6906
2023.2,0,0,91.8850
2023.2.mid,0,0,91.8850
"Brian Robinson",RB,WAS,87.6753
"Sam Howell",QB,WAS,82.1392
2023.2.07,0,0,87.8900
"Elijah Moore",WR,CLE,75.8060
"Darren Waller",TE,NYG,117.7424
"David Montgomery",RB,DET,85.5648
"Will Levis",QB,TEN,76.1165
"Jonathan Mingo",WR,CAR,70.1116
2023.2.08,0,0,79.9000
"Michael Mayer",TE,LV,103.0694
"Tyler Lockett",WR,SEA,64.6065
"Gabriel Davis",WR,BUF,63.7383
"Jimmy Garoppolo",QB,LV,67.2244
2023.2.09,0,0,71.9100
"Sam LaPorta",TE,DET,97.3067
"Antonio Gibson",RB,WAS,69.3614
"David Njoku",TE,CLE,96.3477
"Khalil Herbert",RB,CHI,68.0099
2023.2.10,0,0,63.9200
"Marvin Mims",WR,DEN,55.8610
"Wan'Dale Robinson",WR,NYG,55.8089
"Evan Engram",TE,JAC,86.5082
"Josh Downs",WR,IND,54.0730
"James Conner",RB,ARI,60.8045
"Brandin Cooks",WR,DAL,53.6282
"Roschon Johnson",RB,CHI,60.2929
2023.2.late,0,0,60.9238
"Chigoziem Okonkwo",TE,TEN,84.6370
"Jakobi Meyers",WR,LV,52.5904
"Ryan Tannehill",QB,TEN,55.9461
"Greg Dulcich",TE,DEN,82.8974
2023.2.11,0,0,55.9300
2025.2,0,0,55.9188
"Rashee Rice",WR,KC,47.2115
2023.2.12,0,0,51.9400
"Darnell Mooney",WR,CHI,44.3667
"Michael Thomas",WR,NO,44.2173
2023.3.01,0,0,49.9400
"Rondale Moore",WR,ARI,42.9304
"Tyjae Spears",RB,TEN,48.5271
2023.3.02,0,0,47.9400
2024.3,0,0,47.4813
"Tank Bigsby",RB,JAC,46.1577
"Romeo Doubs",WR,GB,41.1060
"Dalton Schultz",TE,HOU,66.0684
2023.3.early,0,0,46.9413
"Jayden Reed",WR,GB,40.8148
"Damien Harris",RB,BUF,44.9632
2023.3.03,0,0,45.9400
"Baker Mayfield",QB,TB,42.0755
"Jamaal Williams",RB,NO,44.0695
2023.3.04,0,0,43.9500
"Cole Kmet",TE,CHI,61.4146
2023.3.05,0,0,41.9500
"Elijah Mitchell",RB,SF,40.3240
"Jalin Hyatt",WR,NYG,35.0614
2023.3.06,0,0,39.9500
2023.3.mid,0,0,38.9513
2023.3,0,0,38.9513
2023.3.07,0,0,37.9500
"Hendon Hooker",QB,DET,35.1766
2023.3.08,0,0,35.9600
"Trey McBride",TE,ARI,50.2713
2023.3.09,0,0,33.9600
"Skyy Moore",WR,KC,28.6328
2023.3.10,0,0,31.9600
"Samaje Perine",RB,DEN,30.8883
2023.3.late,0,0,29.9625
"Tank Dell",WR,HOU,25.8184
"Alec Pierce",WR,IND,25.4591
"Tyler Allgeier",RB,ATL,28.4094
"Juwan Johnson",TE,NO,40.7013
"Rashaad Penny",RB,PHI,27.5169
2023.3.11,0,0,27.9700
"John Metchie",WR,HOU,23.9622
"Cedric Tillman",WR,CLE,23.9145
"Odell Beckham",WR,BAL,23.5069
"Tyler Boyd",WR,CIN,23.2631
"Nico Collins",WR,HOU,23.2246
"Devin Singletary",RB,HOU,26.0815
