Id,Name,Team,Wk17,Bye,Position,Rank,P Rk,ADP,Rookie,+/-
877745,Lamar Jackson,BAL,GB,7,QB,28,QB2,28.1,,0.1
1287828,Marvin Harrison Jr.,ARI,CIN,8,WR,29,WR14,36.1,,7.1
1214087,Jaxon Smith-Njigba,SEA,CAR,8,WR,30,WR15,30.4,,0.4
1164889,Garrett Wilson,NYJ,NE,9,WR,31,WR16,37.5,,6.5
1167361,Kyren Williams,LAR,ATL,8,RB,32,RB12,28.3,,-3.7
1398572,Omarion Hampton,LAC,HOU,12,RB,33,RB13,29.1,Rookie,-3.9
1380576,Tetairoa Mcmillan,CAR,SEA,14,WR,34,WR17,42.5,Rookie,8.5
593587,Mike Evans,TB,MIA,9,WR,35,WR18,33.9,,-1.1
611417,Davante Adams,LAR,ATL,8,WR,36,WR19,40.2,,4.2
1326638,Xavier Worthy,KC,DEN,10,WR,37,WR20,42.2,,5.2
733672,George Kittle,SF,CHI,14,TE,38,TE3,34.0,,-4.0
1161228,Jayden Daniels,WAS,DAL,12,QB,39,QB3,37.8,,-1.2
913271,Jalen Hurts,PHI,BUF,9,QB,40,QB4,43.6,,3.6
1131012,James Cook,BUF,PHI,7,RB,41,RB14,32.6,,-8.4
877790,DJ Moore,CHI,SF,5,WR,42,WR21,47.7,,5.7
1172053,George Pickens,DAL,WAS,10,WR,43,WR22,49.2,,6.2
1162537,Breece Hall,NYJ,NE,9,RB,44,RB15,47.5,,3.5
1287837,TreVeyon Henderson,NE,NYJ,14,RB,45,RB16,34.6,Rookie,-10.4
836116,Terry McLaurin,WAS,DAL,12,WR,46,WR23,49.3,,3.3
1164402,Kenneth Walker III,SEA,CAR,8,RB,47,RB17,41.4,,-5.6
838878,Courtland Sutton,DEN,KC,12,WR,48,WR24,48.6,,0.6
1060262,DeVonta Smith,PHI,BUF,9,WR,49,WR25,55.0,,6.0
945633,DK Metcalf,PIT,CLE,5,WR,50,WR26,52.3,,2.3
1175184,Jameson Williams,DET,MIN,8,WR,51,WR27,46.6,,-4.4
878785,Joe Burrow,CIN,ARI,10,QB,52,QB5,45.1,,-6.9
884013,Calvin Ridley,TEN,NO,10,WR,53,WR28,54.7,,1.7
1177053,Zay Flowers,BAL,GB,7,WR,54,WR29,60.1,,6.1
1062047,Chuba Hubbard,CAR,SEA,14,RB,55,RB18,53.9,,-1.1
1125749,Jaylen Waddle,MIA,TB,12,WR,56,WR30,61.8,,5.8
1173538,Rashee Rice,KC,DEN,10,WR,57,WR31,63.3,,6.3
750846,Alvin Kamara,NO,TEN,11,RB,58,RB19,48.0,,-10.0
1172401,RJ Harvey,DEN,KC,12,RB,59,RB20,58.4,Rookie,-0.6
1399275,Travis Hunter,JAX,IND,8,WR,60,WR32,65.9,Rookie,5.9
742390,James Conner,ARI,CIN,8,RB,61,RB21,57.5,,-3.5
1287825,Emeka Egbuka,TB,MIA,9,WR,62,WR33,53.2,Rookie,-8.8
694041,Stefon Diggs,NE,NYJ,14,WR,63,WR34,73.3,,10.3
1213727,Rome Odunze,CHI,SF,5,WR,64,WR35,71.0,,7.0
1379267,Matthew Golden,GB,BAL,5,WR,65,WR36,71.4,Rookie,6.4
880151,Jakobi Meyers,LV,NYG,8,WR,66,WR37,69.4,,3.4
1161416,Ricky Pearsall,SF,CHI,14,WR,67,WR38,58.0,,-9.0
1168926,Sam LaPorta,DET,MIN,8,TE,68,TE4,67.7,,-0.3
1069808,D'Andre Swift,CHI,SF,5,RB,69,RB22,64.5,,-4.5
946739,David Montgomery,DET,MIN,8,RB,70,RB23,71.9,,1.9
1122592,Chris Olave,NO,TEN,11,WR,71,WR39,77.3,,6.3
835749,Deebo Samuel Sr.,WAS,DAL,12,WR,72,WR40,65.2,,-6.8
973935,Jerry Jeudy,CLE,PIT,9,WR,73,WR41,74.2,,1.2
839031,Patrick Mahomes,KC,DEN,10,QB,74,QB6,74.8,,0.8
1106832,Isiah Pacheco,KC,DEN,10,RB,75,RB24,66.4,,-8.6
867009,Jauan Jennings,SF,CHI,14,WR,76,WR42,85.6,,9.6
880398,Tony Pollard,TEN,NO,10,RB,77,RB25,68.6,,-8.4
741314,Aaron Jones,MIN,DET,6,RB,78,RB26,76.9,,-1.1
1214250,Jordan Addison,MIN,DET,6,WR,79,WR43,86.4,,7.4
923915,T.J. Hockenson,MIN,DET,6,TE,80,TE5,85.1,,5.1
448240,Travis Kelce,KC,DEN,10,TE,81,TE6,79.1,,-1.9
1229083,Tyler Warren,IND,JAX,11,TE,82,TE7,78.5,Rookie,-3.5
698227,Cooper Kupp,SEA,CAR,8,WR,83,WR44,87.1,,4.1
748070,Baker Mayfield,TB,MIA,9,QB,84,QB7,81.2,,-2.8
820699,Mark Andrews,BAL,GB,7,TE,85,TE8,93.2,,8.2
911348,Michael Pittman Jr.,IND,JAX,11,WR,86,WR45,94.9,,8.9
1109708,Tyrone Tracy Jr.,NYG,LV,14,RB,87,RB27,82.9,,-4.1
1130603,Khalil Shakir,BUF,PHI,7,WR,88,WR46,91.1,,3.1
879799,Kyler Murray,ARI,CIN,8,QB,89,QB8,97.8,,8.8
1176443,Jaylen Warren,PIT,CLE,5,RB,90,RB28,91.6,,1.6
1215077,Josh Downs,IND,JAX,11,WR,91,WR47,101.2,,10.2
1161899,Bo Nix,DEN,KC,12,QB,92,QB9,87.5,,-4.5
1116001,Jordan Mason,MIN,DET,6,RB,93,RB29,87.7,,-5.3
1121761,Brock Purdy,SF,CHI,14,QB,94,QB10,101.5,,7.5
591816,Dak Prescott,DAL,WAS,10,QB,95,QB11,90.9,,-4.1
1123398,Jayden Reed,GB,BAL,5,WR,96,WR48,103.3,,7.3
749185,Evan Engram,DEN,KC,12,TE,97,TE9,93.6,,-3.4
1322431,Keon Coleman,BUF,PHI,7,WR,98,WR49,96.2,,-1.8
727837,Jared Goff,DET,MIN,8,QB,99,QB12,105.9,,6.9
1164530,Zach Charbonnet,SEA,CAR,8,RB,100,RB30,96.4,,-3.6
1274492,Jayden Higgins,HOU,LAC,6,WR,101,WR50,112.9,Rookie,11.9
1110681,Justin Fields,NYJ,NE,9,QB,102,QB13,109.5,,7.5
978577,Travis Etienne Jr.,JAX,IND,8,RB,103,RB31,99.5,,-3.5
1286803,Drake Maye,NE,NYJ,14,QB,104,QB14,113.4,,9.4
976513,J.K. Dobbins,DEN,KC,12,RB,105,RB32,103.6,,-1.4
1286445,Caleb Williams,CHI,SF,5,QB,106,QB15,110.3,,4.3
1381902,Kaleb Johnson,PIT,CLE,5,RB,107,RB33,82.1,Rookie,-24.9
832098,David Njoku,CLE,PIT,9,TE,108,TE10,103.2,,-4.8
835127,Chris Godwin,TB,MIA,9,WR,109,WR51,114.1,,5.1
923412,Rashid Shaheed,NO,TEN,11,WR,110,WR52,115.2,,5.2
1191186,Jacory Croskey-Merritt,WAS,DAL,12,RB,111,RB34,107.2,Rookie,-3.8
1383807,Quinshon Judkins,CLE,PIT,9,RB,112,RB35,120.2,Rookie,8.2
910562,Justin Herbert,LAC,HOU,12,QB,113,QB16,120.4,,7.4
1378821,Colston Loveland,CHI,SF,5,TE,114,TE11,107.3,Rookie,-6.7
865801,Christian Kirk,HOU,LAC,6,WR,115,WR53,120.5,,5.5
1110711,Trevor Lawrence,JAX,IND,8,QB,116,QB17,131.5,,15.5
1280316,Cam Skattebo,NYG,LV,14,RB,117,RB36,121.3,Rookie,4.3
1214084,C.J. Stroud,HOU,LAC,6,QB,118,QB18,125.8,,7.8
912027,Darnell Mooney,ATL,LAR,5,WR,119,WR54,130.9,,11.9
912137,Jordan Love,GB,BAL,5,QB,120,QB19,130.7,,10.7
1287599,J.J. McCarthy,MIN,DET,6,QB,121,QB20,123.8,,2.8
557210,Keenan Allen,LAC,HOU,12,WR,122,WR55,111.7,,-10.3
1377732,Luther Burden III,CHI,SF,5,WR,123,WR56,132.1,Rookie,9.1
1135513,Dalton Kincaid,BUF,PHI,7,TE,124,TE12,129.6,,5.6
791365,Dallas Goedert,PHI,BUF,9,TE,125,TE13,139.6,,14.6
1215035,Tank Bigsby,JAX,IND,8,RB,126,RB37,127.0,,1.0
1108208,Rashod Bateman,BAL,GB,7,WR,127,WR57,118.7,,-8.3
1213799,Marvin Mims Jr.,DEN,KC,12,WR,128,WR58,119.9,,-8.1
973947,Tua Tagovailoa,MIA,TB,12,QB,129,QB21,145.2,,16.2
1181874,Tucker Kraft,GB,BAL,5,TE,130,TE14,116.8,,-13.2
1107034,Brandon Aiyuk,SF,CHI,14,WR,131,WR59,143.2,,12.2
1174682,Rhamondre Stevenson,NE,NYJ,14,RB,132,RB38,137.8,,5.8
1327169,Bhayshul Tuten,JAX,IND,8,RB,133,RB39,146.7,Rookie,13.7
1107478,Michael Penix Jr.,ATL,LAR,5,QB,134,QB22,137.7,,3.7
1065361,Jake Ferguson,DAL,WAS,10,TE,135,TE15,139.3,,4.3
1165229,Ray Davis,BUF,PHI,7,RB,136,RB40,151.7,,15.7
1059612,Joshua Palmer,BUF,PHI,7,WR,137,WR60,150.7,,13.7
1175693,Demario Douglas,NE,NYJ,14,WR,138,WR61,147.6,,9.6
1399910,Dylan Sampson,CLE,PIT,9,RB,139,RB41,155.1,Rookie,16.1
1214633,Tre Harris,LAC,HOU,12,WR,140,WR62,150.7,Rookie,10.7
1123026,Kyle Pitts,ATL,LAR,5,TE,141,TE16,125.5,,-15.5
1378898,Jaydon Blue,DAL,WAS,10,RB,142,RB42,136.5,Rookie,-5.5
1164940,Brenton Strange,JAX,IND,8,TE,143,TE17,153.8,,10.8
1213257,Bryce Young,CAR,SEA,14,QB,144,QB23,146.7,,2.7
1228691,Cam Ward,TEN,NO,10,QB,145,QB24,150.2,Rookie,5.2
1227157,Kyle Williams,NE,NYJ,14,WR,146,WR63,165.4,Rookie,19.4
1122653,Romeo Doubs,GB,BAL,5,WR,147,WR64,157.5,,10.5
513856,Geno Smith,LV,NYG,8,QB,148,QB25,156.4,,8.4
976220,Hollywood Brown,KC,DEN,10,WR,149,WR65,166.2,,17.2
744425,Hunter Henry,NE,NYJ,14,TE,150,TE18,162.2,,12.2
790004,Austin Ekeler,WAS,DAL,12,RB,151,RB43,138.9,,-12.1
323205,Matthew Stafford,LAR,ATL,8,QB,152,QB26,167.7,,15.7
1248031,Trey Benson,ARI,CIN,8,RB,153,RB44,142.4,,-10.6
1164875,Wan'Dale Robinson,NYG,LV,14,WR,154,WR66,166.7,,12.7
1286164,Dont'e Thornton Jr.,LV,NYG,8,WR,155,WR67,170.0,Rookie,15.0
822857,Nick Chubb,HOU,LAC,6,RB,156,RB45,127.2,,-28.8
1131198,Tyler Allgeier,ATL,LAR,5,RB,157,RB46,166.4,,9.4
1325231,Braelon Allen,NYJ,NE,9,RB,158,RB47,128.8,,-29.2
880026,Sam Darnold,SEA,CAR,8,QB,159,QB27,162.6,,3.6
1169430,Tyjae Spears,TEN,NO,10,RB,160,RB48,155.7,,-4.3
1229343,Rachaad White,TB,MIA,9,RB,161,RB49,162.3,,1.3
503177,Zach Ertz,WAS,DAL,12,TE,162,TE19,145.5,,-16.5
1106374,Chig Okonkwo,TEN,NO,10,TE,163,TE20,172.3,,9.3
1213865,Quentin Johnston,LAC,HOU,12,WR,164,WR68,179.4,,15.4
1107881,Javonte Williams,DAL,WAS,10,RB,165,RB50,119.8,,-45.2
1049263,Cade Otton,TB,MIA,9,TE,166,TE21,174.7,,8.7
820727,Joe Mixon,HOU,LAC,6,RB,167,RB51,108.7,,-58.3
743749,Jonnu Smith,PIT,CLE,5,TE,168,TE22,171.0,,3.0
1381263,Mason Taylor,NYJ,NE,9,TE,169,TE23,183.1,Rookie,14.1
733643,Adam Thielen,CAR,SEA,14,WR,170,WR69,144.8,,-25.2
1441362,Isaac TeSlaa,DET,MIN,8,WR,171,WR70,191.3,Rookie,20.3
933480,Rico Dowdle,CAR,SEA,14,RB,172,RB52,175.4,,3.4
1180321,Xavier Legette,CAR,SEA,14,WR,173,WR71,175.3,,2.3
213957,Aaron Rodgers,PIT,CLE,5,QB,174,QB28,179.5,,5.5
1223393,Tory Horton,SEA,CAR,8,WR,175,WR72,195.2,Rookie,20.2
1287636,Will Shipley,PHI,BUF,9,RB,176,RB53,181.4,,5.4
1231652,Woody Marks,HOU,LAC,6,RB,177,RB54,180.7,Rookie,3.7
1124664,Cedric Tillman,CLE,PIT,9,WR,178,WR73,157.9,,-20.1
1125111,Isaiah Likely,BAL,GB,7,TE,179,TE24,173.8,,-5.2
1395319,Elic Ayomanor,TEN,NO,10,WR,180,WR74,201.6,Rookie,21.6
1305866,Pat Bryant,DEN,KC,12,WR,181,WR75,181.7,Rookie,0.7
1163265,Roschon Johnson,CHI,SF,5,RB,182,RB55,205.9,,23.9
973966,Brian Robinson Jr.,SF,CHI,14,RB,183,RB56,106.5,,-76.5
1377766,Ollie Gordon II,MIA,TB,12,RB,184,RB57,180.6,Rookie,-3.4
1125737,Jerome Ford,CLE,PIT,9,RB,185,RB58,165.6,,-19.4
973964,Najee Harris,LAC,HOU,12,RB,186,RB59,166.5,,-19.5
560241,DeAndre Hopkins,BAL,GB,7,WR,187,WR76,188.9,,1.9
880557,Darius Slayton,NYG,LV,14,WR,188,WR77,211.0,,23.0
1222789,Keaton Mitchell,BAL,GB,7,RB,189,RB60,190.6,,1.6
1107027,Alec Pierce,IND,JAX,11,WR,190,WR78,183.7,,-6.3
1303569,DJ Giddens,IND,JAX,11,RB,191,RB61,212.7,Rookie,21.7
1107878,Dyami Brown,JAX,IND,8,WR,192,WR79,213.1,,21.1
1113403,Chris Rodriguez Jr.,WAS,DAL,12,RB,193,RB62,194.3,,1.3
1286046,Jack Bech,LV,NYG,8,WR,194,WR80,203.6,Rookie,9.6
1123529,Michael Wilson,ARI,CIN,8,WR,195,WR81,206.2,,11.2
1286370,Jaylin Noel,HOU,LAC,6,WR,196,WR82,218.0,Rookie,22.0
1250886,Kyle Monangai,CHI,SF,5,RB,197,RB63,215.2,Rookie,18.2
1218753,Jalen Coker,CAR,SEA,14,WR,198,WR83,218.7,,20.7
1394752,Harold Fannin Jr.,CLE,PIT,9,TE,199,TE25,220.9,Rookie,21.9
1285908,Adonai Mitchell,IND,JAX,11,WR,200,WR84,223.2,,23.2
1313668,Brashard Smith,KC,DEN,10,RB,201,RB64,223.5,Rookie,22.5
1286176,Troy Franklin,DEN,KC,12,WR,202,WR85,213.8,,11.8
1290102,Jalen Milroe,SEA,CAR,8,QB,203,QB29,229.0,Rookie,26.0
836152,Mike Gesicki,CIN,ARI,10,TE,204,TE26,190.4,,-13.6
1116662,Pat Freiermuth,PIT,CLE,5,TE,205,TE27,206.1,,1.1
1326628,Ja'Tavion Sanders,CAR,SEA,14,TE,206,TE28,204.2,,-1.8
746613,Kareem Hunt,KC,DEN,10,RB,207,RB65,197.6,,-9.4
1228730,Tahj Brooks,CIN,ARI,10,RB,208,RB66,206.4,Rookie,-1.6
1214405,Keandre Lambert-Smith,LAC,HOU,12,WR,209,WR86,221.1,Rookie,12.1
1213867,Kendre Miller,NO,TEN,11,RB,210,RB67,229.0,,19.0
1403491,Jalen Royals,KC,DEN,10,WR,211,WR87,225.2,Rookie,14.2
1229540,Blake Corum,LAR,ATL,8,RB,212,RB68,211.4,,-0.6
830523,Dalton Schultz,HOU,LAC,6,TE,213,TE29,210.2,,-2.8
1319185,Jarquez Hunter,LAR,ATL,8,RB,214,RB69,224.6,Rookie,10.6
923109,Justice Hill,BAL,GB,7,RB,215,RB70,200.5,,-14.5
1214414,Theo Johnson,NYG,LV,14,TE,216,TE30,212.6,,-3.4
1228633,Sean Tucker,TB,MIA,9,RB,217,RB71,219.1,,2.1
884609,Juwan Johnson,NO,TEN,11,TE,218,TE31,221.5,,3.5
879981,Daniel Jones,IND,JAX,11,QB,219,QB30,191.2,,-27.8
1213872,Savion Williams,GB,BAL,5,WR,220,WR88,229.9,Rookie,9.9
822367,Josh Reynolds,NYJ,NE,9,WR,221,WR89,229.3,,8.3
1172428,Dontayvion Wicks,GB,BAL,5,WR,222,WR90,227.7,,5.7
1164788,Devaughn Vele,NO,TEN,11,WR,223,WR91,228.4,,5.4
1286260,Jaxson Dart,NYG,LV,14,QB,224,QB31,192.9,Rookie,-31.1
605242,Tyler Lockett,TEN,NO,10,WR,225,WR92,196.3,,-28.7
1286513,Jaylen Wright,MIA,TB,12,RB,226,RB72,193.8,,-32.2
606501,Raheem Mostert,LV,NYG,8,RB,227,RB73,223.7,,-3.3
1213726,Jalen McMillan,TB,MIA,9,WR,228,WR93,195.2,,-32.8
1229669,Roman Wilson,PIT,CLE,5,WR,229,WR94,225.9,,-3.1
216342,Joe Flacco,CLE,PIT,9,QB,230,QB32,213.6,,-16.4
1106760,Tutu Atwell,LAR,ATL,8,WR,231,WR95,228.7,,-2.3
1286840,Elijah Arroyo,SEA,CAR,8,TE,232,TE32,198.7,Rookie,-33.3
1124851,Andrei Iosivas,CIN,ARI,10,WR,233,WR96,200.1,,-32.9
1213362,Kayshon Boutte,NE,NYJ,14,WR,234,WR97,229.0,,-5.0
604176,Tyler Higbee,LAR,ATL,8,TE,235,TE33,222.5,,-12.5
1215022,Anthony Richardson,IND,JAX,11,QB,236,QB33,204.2,,-31.8
923911,Noah Fant,CIN,ARI,10,TE,237,TE34,229.8,,-7.2
841649,Hunter Renfrow,CAR,SEA,14,WR,238,WR98,224.9,,-13.1
1214689,Jaylin Lane,WAS,DAL,12,WR,239,WR99,228.4,Rookie,-10.6
600191,Darren Waller,MIA,TB,12,TE,240,TE35,209.8,,-30.2
