Name,Team,Wk17,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Cade Otton,TB,CAR,TE,TE22,177,175.3,,-1.7,2f43f271-81a2-428d-be67-22331f8cc23e
Justin Fields,PIT,KC,QB,QB25,178,182.4,,4.4,8b1ee1f2-c7a2-4e99-a044-780eb97933c7
Ben Sinnott,WAS,ATL,TE,TE23,179,187.5,Rookie,8.5,7c3b8c65-cee7-441a-b656-dc0f9e592075
Isaiah Likely,BAL,HOU,TE,TE24,180,176.9,,-3.1,96e18685-a5d7-4bce-9803-406cd96537cb
Audric Estime,DEN,CIN,RB,RB57,181,193.2,Rookie,12.2,fc3f376b-6891-4be4-be49-125ac078306d
Malachi Corley,NYJ,BUF,WR,WR76,182,187.1,Rookie,5.1,feaa26c4-cff4-487a-970a-ddad711e5b09
Dameon Pierce,HOU,BAL,RB,RB58,183,191.2,,8.2,78a87fe4-0865-48fc-b9a2-cde47573850a
Jermaine Burton,CIN,DEN,WR,WR77,184,177.1,Rookie,-6.9,7f61052c-f7f1-46a1-9486-afbbdebf9e9e
Andrei Iosivas,CIN,DEN,WR,WR78,185,190.7,,5.7,63eec11c-1dd4-4fc1-9d4c-518113126176
Demarcus Robinson,LAR,ARI,WR,WR79,186,170.6,,-15.4,156f87f5-8039-4e08-b878-f03c220c2923
Juwan Johnson,NO,LV,TE,TE25,187,198.4,,11.4,8e8ab6f3-17ee-4fd2-b267-49e1d20b6d12
Bryce Young,CAR,TB,QB,QB26,188,195.3,,7.3,988bab92-36df-41d0-90d3-86d936f37c90
Derek Carr,NO,LV,QB,QB27,189,201.7,,12.7,7758c18a-e90d-4730-b4d9-e576e1edde66
Bo Nix,DEN,CIN,QB,QB28,190,201.1,Rookie,11.1,8f16025a-ffe0-4efa-836e-b71ae20db9e9
Drake Maye,NE,LAC,QB,QB29,191,206.2,Rookie,15.2,559fb2bc-fb75-45f8-8872-32bdc051ef1b
Jordan Mason,SF,DET,RB,RB59,192,191.4,,-0.6,12d3481b-b7f6-4d82-baa4-3305e68d386d
Javon Baker,NE,LAC,WR,WR80,193,207.3,Rookie,14.3,283389c2-edc9-43fb-a311-fcd3e14f483b
Jalen Tolbert,DAL,PHI,WR,WR81,194,175.6,,-18.4,1a953802-dab8-461f-983f-7695316f109f
Sam Darnold,MIN,GB,QB,QB30,195,199.4,,4.4,1507292b-ae32-4d4c-b453-630ba7b1de42
Daniel Jones,NYG,IND,QB,QB31,196,187.9,,-8.1,a9621925-0793-4d79-ad41-0f568611b6b5
Theo Johnson,NYG,IND,TE,TE26,197,208.8,Rookie,11.8,220b09df-76f5-4c09-b525-7bd4113aa51a
Tank Bigsby,JAX,TEN,RB,RB60,198,207.1,,9.1,d5eb08a8-9cfd-4355-8ef8-68520f7ddcc2
Jordan Whittington,LAR,ARI,WR,WR82,199,208.3,,9.3,32399581-6bbb-456d-90b0-e958dab9a105
Will Shipley,PHI,DAL,RB,RB61,200,208.4,Rookie,8.4,77d67f97-1de2-4ded-a444-027232e14d35
Roschon Johnson,CHI,SEA,RB,RB62,201,208.2,,7.2,7680a072-4119-42eb-9d1b-031c94180600
Marvin Mims Jr.,DEN,CIN,WR,WR83,202,178.6,,-23.4,fc1ccabb-3073-4b34-a1c4-3310e43d369e
Troy Franklin,DEN,CIN,WR,WR84,203,204.9,Rookie,1.9,fe172b50-3a9a-4b92-bfd7-7c4806855cd3
Kendre Miller,NO,LV,RB,RB63,204,202.8,,-1.2,ff629d5a-a1a0-41aa-be94-384346c39dd0
Colby Parkinson,LAR,ARI,TE,TE27,205,203.6,,-1.4,a12d7960-6735-4cd5-a17b-a6fd9011f9ca
Roman Wilson,PIT,KC,WR,WR85,206,206.0,Rookie,0,ee4764a1-5eaa-450f-bfb6-fda7fd37485f
Mike Gesicki,CIN,DEN,TE,TE28,207,208.6,,1.6,72b37a2c-fc4e-459f-9993-cdce1843deff
Darius Slayton,NYG,IND,WR,WR86,208,214.2,,6.2,01325253-9619-4ab1-ac44-9f3a0e9be4e9
