Id,Name,Position,Adp,Team,Wk17,P Rk,Rookie,Rank,+/-
555358,Jimmy Garoppolo,QB,183.9,LV,IND,QB31,,211,-27.1
1108161,Trey McBride,TE,219.9,ARI,PHI,TE30,,212,7.9
690153,Cordarrelle Patterson,RB,209.8,ATL,CHI,RB63,,213,-3.2
1125882,Keaontay Ingram,RB,230.3,ARI,PHI,RB64,,214,16.3
1228925,Deuce Vaughn,RB,175.9,DAL,DET,RB65,Rookie,215,-39.1
1059576,Ty Chandler,RB,197.8,MIN,GB,RB66,,216,-18.2
822644,Richie James,WR,183.4,KC,CIN,WR90,,217,-33.6
609496,Allen Robinson,WR,224.3,PIT,SEA,WR91,,218,6.3
878371,Joshua Kelley,RB,223.9,LAC,DEN,RB67,,219,4.9
748070,Baker Mayfield,QB,213.9,TB,NO,QB32,,220,-6.1
1124664,Cedric Tillman,WR,226.9,CLE,NYJ,WR92,Rookie,221,5.9
732121,Corey Davis,WR,226.3,NYJ,CLE,WR93,,222,4.3
946094,Chase Claypool,WR,217.8,CHI,ATL,WR94,,223,-5.2
1049263,Cade Otton,TE,220.3,TB,NO,TE31,,224,-3.7
1164875,Wan'Dale Robinson,WR,228.1,NYG,LA,WR95,,225,3.1
749968,Durham Smythe,TE,228.7,MIA,BAL,TE32,,226,2.7
1162128,Puka Nacua,WR,225.7,LA,NYG,WR96,,227,-1.3
836152,Mike Gesicki,TE,214.3,NE,BUF,TE33,,228,-13.7
1130603,Khalil Shakir,WR,209.2,BUF,NE,WR97,,229,-19.8
923911,Noah Fant,TE,217.0,SEA,PIT,TE34,,230,-13.0
975503,Jelani Woods,TE,228.3,IND,LV,TE35,,231,-2.7
503177,Zach Ertz,TE,217.9,ARI,PHI,TE36,,232,-14.1
1173266,Evan Hull,RB,226.4,IND,LV,RB68,Rookie,233,-6.6
1059612,Joshua Palmer,WR,211.4,LAC,DEN,WR98,,234,-22.6
949134,Quez Watkins,WR,228.9,PHI,ARI,WR99,,235,-6.1
976329,Michael Carter,RB,225.7,NYJ,CLE,RB69,,236,-10.3
754412,Kendrick Bourne,WR,229.4,NE,BUF,WR100,,237,-7.6
976650,Clyde Edwards-Helaire,RB,200.1,KC,CIN,RB70,,238,-37.9
1109285,Terrace Marshall,WR,227.7,CAR,JAX,WR101,,239,-11.3
608360,Chosen Anderson,WR,227.7,MIA,BAL,WR102,,240,-12.3
1215792,Zach Evans,RB,226.8,LA,NYG,RB71,Rookie,241,-14.2
702808,Mack Hollins,WR,223.0,ATL,CHI,WR103,,242,-19.0
1123379,Chase Brown,RB,214.5,CIN,KC,RB72,Rookie,243,-28.5
507528,Logan Thomas,TE,228.7,WAS,SF,TE37,,244,-15.3
1161739,Trey Palmer,WR,227.3,TB,NO,WR104,Rookie,245,-17.7
877807,Ke'Shawn Vaughn,RB,225.7,TB,NO,RB73,,246,-20.3
820866,Braxton Berrios,WR,229.5,MIA,BAL,WR105,,247,-17.5
1056950,Deon Jackson,RB,208.9,IND,LV,RB74,,248,-39.1
1062765,Calvin Austin,WR,219.8,PIT,SEA,WR106,,249,-29.2
467405,Latavius Murray,RB,222.3,BUF,NE,RB75,,250,-27.7
