"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif","id"
"Geno Smith","QB","LV","152","156.4","4.4","QB26","QB25","-1","513856"
"Cedric Tillman","WR","CLE","153","159.2","6.2","WR63","WR65","2","1124664"
"Kyle Williams","WR","NE","154","166.6","12.6","WR64","WR67","3","1227157"
"Ray Davis","RB","BUF","155","152.6","-2.4","RB49","RB48","-1","1165229"
"Brandon Aiyuk","WR","SF","156","144.2","-11.8","WR65","WR60","-5","1107034"
"Wan'Dale Robinson","WR","NYG","157","166.2","9.2","WR66","WR66","0","1164875"
"Jerome Ford","RB","CLE","158","164.6","6.6","RB50","RB52","2","1125737"
"Zach Ertz","TE","WAS","159","145.3","-13.7","TE17","TE17","0","503177"
"Joe Mixon","RB","HOU","160","109.5","-50.5","RB51","RB35","-16","820727"
"Adam Thielen","WR","CAR","161","143.9","-17.1","WR67","WR59","-8","733643"
"Najee Harris","RB","LAC","162","167.5","5.5","RB52","RB54","2","973964"
"Brenton Strange","TE","JAX","163","153.7","-9.3","TE18","TE18","0","1164940"
"Brian Robinson","RB","SF","164","113.6","-50.4","RB53","RB36","-17","973966"
"Woody Marks","RB","HOU","165","181.4","16.4","RB54","RB57","3","1231652"
"Jonnu Smith","TE","PIT","166","172.1","6.1","TE19","TE21","2","743749"
"Demario Douglas","WR","NE","167","147.0","-20.0","WR68","WR61","-7","1175693"
"Xavier Legette","WR","CAR","168","174.0","6.0","WR69","WR70","1","1180321"
"Hunter Henry","TE","NE","169","161.5","-7.5","TE20","TE19","-1","744425"
"Rico Dowdle","RB","CAR","170","176.5","6.5","RB55","RB56","1","933480"
"Cade Otton","TE","TB","171","173.1","2.1","TE21","TE22","1","1049263"
"Justice Hill","RB","BAL","172","201.3","29.3","RB56","RB63","7","923109"
"Chig Okonkwo","TE","TEN","173","171.0","-2.0","TE22","TE20","-2","1106374"
"Will Shipley","RB","PHI","174","181.7","7.7","RB57","RB58","1","1287636"
"Daniel Jones","QB","IND","175","188.3","13.3","QB27","QB29","2","879981"
"Nick Chubb","RB","HOU","176","126.7","-49.3","RB58","RB40","-18","822857"
"Ollie Gordon II","RB","MIA","177","168.9","-8.1","RB59","RB55","-4","1377766"
"Mike Gesicki","TE","CIN","178","190.8","12.8","TE23","TE25","2","836152"
"Roschon Johnson","RB","CHI","179","209.4","30.4","RB60","RB66","6","1163265"
"Isaiah Likely","TE","BAL","180","175.4","-4.6","TE24","TE23","-1","1125111"
"Tahj Brooks","RB","CIN","181","205.9","24.9","RB61","RB65","4","1228730"
"Sam Darnold","QB","SEA","182","163.0","-19.0","QB28","QB26","-2","880026"
"Aaron Rodgers","QB","PIT","183","179.3","-3.7","QB29","QB28","-1","213957"
"DJ Giddens","RB","IND","184","209.6","25.6","RB62","RB67","5","1303569"
"Isaac TeSlaa","WR","DET","185","185.5","0.5","WR70","WR74","4","1441362"
"Tyler Shough","QB","NO","186","221.7","35.7","QB30","QB34","4","1110306"
"Kareem Hunt","RB","KC","187","194.1","7.1","RB63","RB62","-1","746613"
"Quentin Johnston","WR","LAC","188","180.7","-7.3","WR71","WR72","1","1213865"
"Jaylen Wright","RB","MIA","189","201.6","12.6","RB64","RB64","0","1286513"
"Pat Bryant","WR","DEN","190","180.0","-10.0","WR72","WR71","-1","1305866"
"Mason Taylor","TE","NYJ","191","183.4","-7.6","TE25","TE24","-1","1381263"
"Jarquez Hunter","RB","LA","192","225.0","33.0","RB65","RB82","17","1319185"
"Jaxson Dart","QB","NYG","193","190.4","-2.6","QB31","QB30","-1","1286260"
"Jaylin Noel","WR","HOU","194","219.3","25.3","WR73","WR90","17","1286370"
"Dont'e Thornton Jr.","WR","LV","195","167.7","-27.3","WR74","WR69","-5","1286164"
"Sean Tucker","RB","TB","196","219.8","23.8","RB66","RB70","4","1228633"
"Jalen Coker","WR","CAR","197","215.1","18.1","WR75","WR87","12","1218753"
"Blake Corum","RB","LA","198","211.9","13.9","RB67","RB68","1","1229540"
"Darius Slayton","WR","NYG","199","209.7","10.7","WR76","WR84","8","880557"
"Chris Rodriguez Jr.","RB","WAS","200","185.9","-14.1","RB68","RB60","-8","1113403"
"Kyle Monangai","RB","CHI","201","217.0","16.0","RB69","RB69","0","1250886"
"Jack Bech","WR","LV","202","206.5","4.5","WR77","WR82","5","1286046"
"Samaje Perine","RB","CIN","203","229.6","26.6","RB70","RB110","40","820734"
"Kendre Miller","RB","NO","204","228.1","24.1","RB71","RB101","30","1213867"
"Pat Freiermuth","TE","PIT","205","207.2","2.2","TE26","TE29","3","1116662"
"Keaton Mitchell","RB","BAL","206","190.1","-15.9","RB72","RB61","-11","1222789"
"Theo Johnson","TE","NYG","207","213.6","6.6","TE27","TE31","4","1214414"
"Dyami Brown","WR","JAX","208","214.9","6.9","WR78","WR86","8","1107878"
"Trevor Etienne","RB","CAR","209","228.1","19.1","RB73","RB103","30","1394803"
"Michael Wilson","WR","ARI","210","206.4","-3.6","WR79","WR81","2","1123529"
"Elijah Arroyo","TE","SEA","211","200.8","-10.2","TE28","TE26","-2","1286840"
"Harold Fannin Jr.","TE","CLE","212","217.0","5.0","TE29","TE32","3","1394752"
"Brashard Smith","RB","KC","213","222.8","9.8","RB74","RB71","-3","1313668"
"Elic Ayomanor","WR","TEN","214","197.9","-16.1","WR80","WR78","-2","1395319"
"Tory Horton","WR","SEA","215","197.4","-17.6","WR81","WR77","-4","1223393"
"Juwan Johnson","TE","NO","216","221.7","5.7","TE30","TE33","3","884609"
"Miles Sanders","RB","DAL","217","224.2","7.2","RB75","RB75","0","924261"
"Ja'Tavion Sanders","TE","CAR","218","203.4","-14.6","TE31","TE27","-4","1326628"
"Alec Pierce","WR","IND","219","183.5","-35.5","WR82","WR73","-9","1107027"
"Malik Washington","WR","MIA","220","226.4","6.4","WR83","WR124","41","1173255"
"Tyler Higbee","TE","LA","221","222.5","1.5","TE32","TE34","2","604176"
"Troy Franklin","WR","DEN","222","209.0","-13.0","WR84","WR83","-1","1286176"
"Parker Washington","WR","JAX","223","228.6","5.6","WR85","WR148","63","1229074"
"Tre Tucker","WR","LV","224","226.9","2.9","WR86","WR129","43","1164979"
"Ray-Ray McCloud","WR","ATL","225","211.7","-13.3","WR87","WR85","-2","867759"
"Tyler Lockett","WR","TEN","226","195.1","-30.9","WR88","WR76","-12","605242"
"Dalton Schultz","TE","HOU","227","211.0","-16.0","TE33","TE30","-3","830523"
"Tutu Atwell","WR","LA","228","228.7","0.7","WR89","WR149","60","1106760"
"Noah Gray","TE","KC","229","227.9","-1.1","TE34","TE36","2","1056981"
"Calvin Austin III","WR","PIT","230","217.5","-12.5","WR90","WR89","-1","1062765"
"Nick Westbrook-Ikhine","WR","MIA","231","226.7","-4.3","WR91","WR126","35","883259"
"Josh Reynolds","WR","NYJ","232","229.4","-2.6","WR92","WR153","61","822367"
"DeAndre Hopkins","WR","BAL","233","189.9","-43.1","WR93","WR75","-18","560241"
"Devin Neal","RB","NO","234","227.0","-7.0","RB76","RB97","21","1293066"
"Dontayvion Wicks","WR","GB","235","228.0","-7.0","WR94","WR140","46","1172428"
"Isaac Guerendo","RB","SF","236","181.9","-54.1","RB77","RB59","-18","1126338"
"Raheem Mostert","RB","LV","237","223.3","-13.7","RB78","RB72","-6","606501"
"Jalen Royals","WR","KC","238","225.9","-12.1","WR95","WR121","26","1403491"
"Andrei Iosivas","WR","CIN","239","199.8","-39.2","WR96","WR79","-17","1124851"
"Anthony Richardson","QB","IND","240","209.0","-31.0","QB32","QB32","0","1215022"
"Jordan Whittington","WR","LA","241","231.3","-9.7","WR97","WR157","60","1163273"
"Emanuel Wilson","RB","GB","242","228.1","-13.9","RB79","RB102","23","1447759"
"Dameon Pierce","RB","HOU","243","225.3","-17.7","RB80","RB85","5","1108998"
"MarShawn Lloyd","RB","GB","244","227.4","-16.6","RB81","RB98","17","1213414"
"Greg Dortch","WR","ARI","245","227.9","-17.1","WR98","WR138","40","910852"
"Noah Brown","WR","WAS","246","228.0","-18.0","WR99","WR142","43","836103"
"Darren Waller","TE","MIA","247","206.2","-40.8","TE35","TE28","-7","600191"
"Jalen Tolbert","WR","DAL","248","225.6","-22.4","WR100","WR115","15","1066424"
"KaVontae Turpin","WR","DAL","249","227.9","-21.1","WR101","WR139","38","865958"
"Devaughn Vele","WR","NO","250","228.0","-22.0","WR102","WR141","39","1164788"
"Kayshon Boutte","WR","NE","251","228.4","-22.6","WR103","WR146","43","1213362"
"Terrance Ferguson","TE","LA","252","229.2","-22.8","TE36","TE50","14","1286179"
"Brandin Cooks","WR","NO","253","225.2","-27.8","WR104","WR110","6","607864"
"Adonai Mitchell","WR","IND","254","223.8","-30.2","WR105","WR93","-12","1285908"
"Jalen Nailor","WR","MIN","255","216.1","-38.9","WR106","WR88","-18","1126817"
"Ty Johnson","RB","BUF","256","229.1","-26.9","RB82","RB107","25","877784"
"AJ Dillon","RB","PHI","257","224.8","-32.2","RB83","RB80","-3","1060545"
"Jordan James","RB","SF","258","229.3","-28.7","RB84","RB108","24","1400657"
"Michael Mayer","TE","LV","259","230.0","-29.0","TE37","TE57","20","1232592"
"Roman Wilson","WR","PIT","260","226.0","-34.0","WR107","WR122","15","1229669"
"Tai Felton","WR","MIN","261","228.0","-33.0","WR108","WR143","35","1287587"
"Jaylin Lane","WR","WAS","262","228.1","-33.9","WR109","WR144","35","1214689"
"Curtis Samuel","WR","BUF","263","225.7","-37.3","WR110","WR118","8","821389"
"Cole Kmet","TE","CHI","264","226.7","-37.3","TE38","TE35","-3","1066765"
"Dawson Knox","TE","BUF","265","228.0","-37.0","TE39","TE37","-2","884083"
"Kenneth Gainwell","RB","PIT","266","226.2","-39.8","RB85","RB92","7","1130705"
"Tyler Goodson","RB","IND","267","224.2","-42.8","RB86","RB74","-12","1168918"
"Isaiah Davis","RB","NYJ","268","230.8","-37.2","RB87","RB111","24","1271609"
"AJ Barner","TE","SEA","269","229.9","-39.1","TE40","TE55","15","1229503"
"Oronde Gadsden II","TE","LAC","270","229.6","-40.4","TE41","TE53","12","1325624"
"Jalen McMillan","WR","TB","271","202.2","-68.8","WR111","WR80","-31","1213726"
"Zay Jones","WR","ARI","272","227.1","-44.9","WR112","WR134","22","746491"
"Will Dissly","TE","LAC","273","230.4","-42.6","TE42","TE59","17","837806"
"Savion Williams","WR","GB","274","229.7","-44.3","WR113","WR154","41","1213872"
"Jaleel McLaughlin","RB","DEN","275","226.6","-48.4","RB88","RB94","6","1271738"
"Luke McCaffrey","WR","WAS","276","224.9","-51.1","WR114","WR105","-9","1164846"
"Khalil Herbert","RB","IND","277","226.5","-50.5","RB89","RB93","4","935104"
"Noah Fant","TE","CIN","278","229.7","-48.3","TE43","TE54","11","923911"
"Chimere Dike","WR","TEN","279","232.5","-46.5","WR115","WR159","44","1215102"
"Tyler Conklin","TE","LAC","280","229.2","-50.8","TE44","TE51","7","861278"
"Devin Singletary","RB","NYG","281","226.6","-54.4","RB90","RB95","5","916466"
"Kalif Raymond","WR","DET","282","224.8","-57.2","WR116","WR102","-14","692660"
"Cade Stover","TE","HOU","283","229.0","-54.0","TE45","TE47","2","1175182"
"Arian Smith","WR","NYJ","284","227.1","-56.9","WR117","WR135","18","1218653"
"Elijah Mitchell","RB","KC","285","227.7","-57.3","RB91","RB100","9","1050833"
"Antonio Gibson","RB","NE","286","227.5","-58.5","RB92","RB99","7","1107826"
"Grant Calcaterra","TE","PHI","287","228.5","-58.5","TE46","TE43","-3","976221"
"Mack Hollins","WR","NE","288","225.5","-62.5","WR118","WR113","-5","702808"
"Hunter Renfrow","WR","CAR","289","224.6","-64.4","WR119","WR97","-22","841649"
"Ben Sinnott","TE","WAS","290","229.0","-61.0","TE47","TE48","1","1228920"
"KhaDarel Hodge","WR","ATL","291","228.4","-62.6","WR120","WR145","25","757521"
"Tim Patrick","WR","DET","292","225.6","-66.4","WR121","WR116","-5","838179"
"Gus Edwards","RB","FA","293","240.0","-53.0","RB93","RB112","19","739799"
"Marquez Valdes-Scantling","WR","SEA","294","226.7","-67.3","WR122","WR127","5","742382"
"Luke Schoonmaker","TE","DAL","295","228.5","-66.5","TE48","TE40","-8","1130242"
"Van Jefferson","WR","TEN","296","225.5","-70.5","WR123","WR112","-11","884080"
"Jeremy McNichols","RB","WAS","297","225.5","-71.5","RB94","RB87","-7","837594"
"Jermaine Burton","WR","CIN","298","232.7","-65.3","WR124","WR160","36","1218631"
"Austin Hooper","TE","NE","299","230.0","-69.0","TE49","TE56","7","739424"
"Clyde Edwards-Helaire","RB","NO","300","225.1","-74.9","RB95","RB83","-12","976650"
