id,name,position,adp,team
1003182,Chris Rodriguez,,,
7930,Devin Duvernay,,,
5303,Durham Smythe,,,
5388,Sam Darnold,,,
1000986,Zonovan Knight,,,
10491,Noah Gray,,,
1001036,Justyn Ross,,,
1003159,Luke Schoonmaker,,,
1003199,Trey Palmer,,,
8058,Nick Westbrook-Ikhine,,,
946,Kalif Raymond,,,
10565,Kene Nwangwu,,,
864,Jacoby Brissett,,,
7934,Jauan Jennings,,,
1002857,AT Perry,,,
890,Robbie Anderson,,,
7954,Albert Okwuegbunam,,,
803,Joe Banyard,,,
804,Philly Brown,,,
805,Jeremy Butler,,,
806,Charles Clay,,,
807,Jason Croom,,,
808,Patrick DiMarco,,,
809,Ed Eagan,,,
811,Andre Holmes,,,
812,Jordan Johnson,,,
813,Cardale Jones,,,
815,Dezmin Lewis,,,
816,LeSean McCoy,,,
817,Nick O'Leary,,,
818,Cedric O'Neal,,,
819,Nathan Peterman,,,
820,Walt Powell,,,
821,Brandon Reilly,,,
822,Rashad Ross,,,
823,Wes Saxton,,,
824,Daikiel Shorts Jr.,,,
825,Rod Streater,,,
826,Brandon Tate,,,
827,Tyrod Taylor,,,
829,Mike Tolbert,,,
830,Keith Towbridge,,,
831,Sammy Watkins,,,
832,Jonathan Williams,,,
833,T.J. Yates,,,
834,Jay Ajayi,,,
835,Leonte Carroo,,,
836,Brandon Doughty,,,
837,Kenyan Drake,,,
838,Thomas Duarte,,,
839,David Fales,,,
840,Anthony Fasano,,,
841,Isaiah Ford,,,
843,Jakeem Grant,,,
844,MarQueis Gray,,,
845,Storm Johnson,,,
846,Jarvis Landry,,,
847,Malcolm Lewis,,,
848,Matt Moore,,,
849,Drew Morgan,,,
850,Francis Owusu,,,
851,Chris Pantale,,,
853,Senorise Perry,,,
854,Rashawn Scott,,,
855,De'Veon Smith,,,
856,Kenny Stills,,,
857,Damore'ea Stringfellow,,,
859,Julius Thomas,,,
860,Dwayne Allen,,,
861,Danny Amendola,,,
862,Brandon Bolden,,,
863,Tom Brady,,,
865,Rex Burkhead,,,
866,Austin Carr,,,
868,Sam Cotton,,,
869,LeShun Daniels Jr.,,,
870,James Develin,,,
871,Julian Edelman,,,
872,D.J. Foster,,,
874,Mike Gillislee,,,
876,Glenn Gronkowski,,,
877,Rob Gronkowski,,,
878,Andrew Hawkins,,,
879,Chris Hogan,,,
880,Cody Hollister,,,
881,Jacob Hollister,,,
882,Matt Lengel,,,
883,Dion Lewis,,,
884,Devin Lucien,,,
885,Malcolm Mitchell,,,
886,James O'Shaughnessy,,,
887,Matt Slater,,,
888,DeAndrew White,,,
889,James White,,,
891,K.D. Cannon,,,
893,Eric Decker,,,
894,Quincy Enunwa,,,
895,Brisly Estime,,,
896,Anthony Firkser,,,
897,Matt Forte,,,
898,Deshon Foxx,,,
899,Christian Hackenberg,,,
900,Frankie Hammond Jr.,,,
901,Chad Hansen,,,
902,Chris Harper,,,
903,Julian Howsare,,,
904,Chris King,,,
905,Jordan Leggett,,,
906,Gabe Marks,,,
907,Jalin Marshall,,,
909,Josh McCown,,,
910,Elijah McGuire,,,
911,Romar Morris,,,
912,Brian Parker,,,
913,Quinton Patton,,,
914,Charone Peake,,,
915,Bryce Petty,,,
916,Bilal Powell,,,
917,Austin Seferian-Jenkins,,,
918,Devin Smith,,,
919,ArDarius Stewart,,,
920,Devin Street,,,
921,Eric Tomlinson,,,
922,Jason Vander Laan,,,
923,Myles White,,,
924,Brandon Wilds,,,
925,C.J. Anderson,,,
926,Devontae Booker,,,
927,Marlon Brown,,,
928,Jake Butt,,,
929,Jamaal Charles,,,
930,A.J. Derby,,,
931,Bennie Fowler,,,
932,Garrett Graham,,,
933,Virgil Green,,,
934,Carlos Henderson,,,
935,De'Angelo Henderson Sr.,,,
936,Jeff Heuerman,,,
937,Andy Janovich,,,
938,Chad Kelly,,,
939,Henry Krieger-Coble,,,
940,Cedrick Lang,,,
941,Cody Latimer,,,
942,Paxton Lynch,,,
943,Isaiah McKenzie,,,
944,Anthony Nash,,,
945,Bernard Pierce,,,
947,Emmanuel Sanders,,,
948,Steven Scheu,,,
949,Hunter Sharp,,,
950,Trevor Siemian,,,
951,Kyle Sloter,,,
952,Jordan Taylor,,,
953,Demaryius Thomas,,,
954,Juwan Thompson,,,
955,Austin Traylor,,,
956,Tyler Bray,,,
957,Emanuel Byrd,,,
958,Orson Charles,,,
959,Jehu Chesson,,,
960,Chris Conley,,,
961,Gehrig Dieter,,,
962,Gavin Escobar,,,
963,Demetrius Harris,,,
966,Seantavius Jones,,,
967,Tevin Jones,,,
969,Marcus Kemp,,,
971,Alonzo Moore,,,
972,Devine Redding,,,
973,Demarcus Robinson,,,
975,Anthony Sherman,,,
976,Alex Smith,,,
977,C.J. Spiller,,,
978,Joel Stave,,,
979,Tony Stevens,,,
980,De'Anthony Thomas,,,
981,Ross Travis,,,
982,Spencer Ware,,,
983,Charcandrick West,,,
984,Albert Wilson,,,
985,James Winchester,,,
987,Kenjon Barner,,,
988,Travis Benjamin,,,
