"Player","Team","Position","ETR Pos Rank","ETR Rank","Underdog ADP","Underdog POS ADP","ADP Differential","id","Current Ownership Estimate"
"Christian Kirk","JAX","WR","WR29","45","52.8","WR32","7.8","3641f3d1-3ff6-4d44-91db-47834e41227b","100%"
"Patrick Mahomes","KC","QB","QB04","46","42.7","QB03","-3.3","1028d0c1-94d4-463f-9a3d-3c0bebb060db","100%"
"Amari Cooper","CLE","WR","WR30","47","43.7","WR29","-3.3","2426f790-2c33-4a1d-9074-0a2975affc5d","100%"
"Josh Jacobs","GB","RB","RB12","48","48.8","RB12","0.8","993baded-bd48-4787-b0ad-ac2996be73a4","100%"
"Terry McLaurin","WAS","WR","WR31","49","49.8","WR31","0.8","84b4c137-2193-4e4b-b3de-a74f2eed2ad3","100%"
"George Pickens","PIT","WR","WR32","50","47.3","WR30","-2.7","0c410b1a-19f9-415f-ae96-11dc81d258dc","100%"
"Xavier Worthy","KC","WR","WR33","51","56.1","WR33","5.1","f1af93fd-af0e-4380-8ae4-519f04a8673c","100%"
"James Cook","BUF","RB","RB13","52","53.7","RB13","1.7","d7025fba-a9fc-4295-8a27-b194556a90f9","100%"
"Trey McBride","ARI","TE","TE03","53","45.7","TE03","-7.3","eb7bc4df-1285-4d03-94d4-bf9ab58eea87","100%"
"Dalton Kincaid","BUF","TE","TE04","54","52.1","TE05","-1.9","5fd1a37f-4c31-4cc1-82b5-ce980d353aaa","100%"
"Kyle Pitts","ATL","TE","TE05","55","61.4","TE06","6.4","4ffdccda-f8a4-4ec4-90a6-0ddf19626a93","100%"
"Mark Andrews","BAL","TE","TE06","56","50.2","TE04","-5.8","b73379fb-c0bf-4624-bb87-5b9daf7ae1ed","100%"
"Chris Godwin","TB","WR","WR34","57","63.2","WR37","6.2","19f1f476-acd6-4dbd-ac1c-7c4a920bf479","100%"
"Rachaad White","TB","RB","RB14","58","60.9","RB14","2.9","140a874a-e16b-4b51-9640-01797a14e4a1","100%"
"Rome Odunze","CHI","WR","WR35","59","64.4","WR38","5.4","144f1a02-d422-4d10-ba5e-349a5daae34b","100%"
"Joe Mixon","HOU","RB","RB15","60","63.1","RB16","3.1","012a73f3-7fe2-427d-89d5-2ddc0fb366e6","100%"
"Keenan Allen","CHI","WR","WR36","61","59.8","WR35","-1.2","079b90e6-3ce0-4952-88a6-8e2a3003d6fe","100%"
"Anthony Richardson","IND","QB","QB05","62","59.1","QB05","-2.9","e5c2cbd7-65b7-41a9-b81d-a6e1313571fd","100%"
"George Kittle","SF","TE","TE07","63","64.5","TE07","1.5","0d22526b-00d4-4f61-9c71-7540cd373543","100%"
"Kenneth Walker","SEA","RB","RB16","64","61.4","RB15","-2.6","03fcdf1b-3181-4dc9-9891-5f8db430037f","100%"
"Jayden Reed","GB","WR","WR37","65","61.0","WR36","-4.0","501824d3-4a54-4af2-b44a-d3ecd1963f1d","100%"
"Calvin Ridley","TEN","WR","WR38","66","56.4","WR34","-9.6","cc6cf04a-9ebb-4f4d-9d39-cc637b2da612","100%"
"Brian Thomas","JAX","WR","WR39","67","72.0","WR41","5.0","e596066b-2a14-4ac2-9b2c-84422febdf32","100%"
"David Montgomery","DET","RB","RB17","68","70.1","RB17","2.1","1bbd25be-df0b-43c5-a027-2ff0bc886805","100%"
"C.J. Stroud","HOU","QB","QB06","69","70.7","QB06","1.7","d1f113bc-e984-499b-a386-2c38ef7a25d0","100%"
"DeAndre Hopkins","TEN","WR","WR40","70","89.8","WR48","19.8","d0ab599c-2441-43c7-8e44-355ddcd40fb4","100%"
"Evan Engram","JAX","TE","TE08","71","75.4","TE08","4.4","5482dd3a-89c6-44de-9819-2b27e7af1097","100%"
"Diontae Johnson","CAR","WR","WR41","72","68.2","WR39","-3.8","b7b1f316-40a7-4784-a8d1-f972b0dd394f","100%"
"Ladd McConkey","LAC","WR","WR42","73","78.4","WR45","5.4","da9a62a7-26d6-4485-be96-cd693c639448","100%"
"Kyler Murray","ARI","QB","QB07","74","72.6","QB07","-1.4","bf247202-99b8-442a-9164-7e7b88e3c39c","100%"
"Jaxon Smith-Njigba","SEA","WR","WR43","75","74.1","WR43","-0.9","71aa400e-7eab-465e-bf0a-1c1f7f407306","100%"
"Christian Watson","GB","WR","WR44","76","71.5","WR40","-4.5","c404a688-5ff2-4ede-a1bd-1e52bd000052","100%"
"Najee Harris","PIT","RB","RB18","77","80.9","RB20","3.9","fa6d275b-9843-4a2a-a13f-17b2a6421118","100%"
"Keon Coleman","BUF","WR","WR45","78","77.2","WR44","-0.8","6d7c0fe8-34ac-4c6c-a7ab-3aba41078fc0","100%"
"James Conner","ARI","RB","RB19","79","75.4","RB19","-3.6","94b09be0-23a5-46fd-9484-7aa994983d13","100%"
"Marquise Brown","KC","WR","WR46","80","72.7","WR42","-7.3","905c091a-69b0-4c46-9f4a-0887d6485aaf","100%"
"Alvin Kamara","NO","RB","RB20","81","72.1","RB18","-8.9","8efa33b9-1203-4a58-82f7-2b1104491e97","100%"
"Joe Burrow","CIN","QB","QB08","82","89.1","QB08","7.1","13b9e9b0-7b2f-4a53-9772-7a2b029a0cec","100%"
"Jameson Williams","DET","WR","WR47","83","81.5","WR46","-1.5","05770873-38ff-4f2c-9fe6-93b30344c8ff","100%"
"Dak Prescott","DAL","QB","QB09","84","98.1","QB11","14.1","820e0944-20ba-491d-94a0-9c367bb95d2a","100%"
"Rhamondre Stevenson","NE","RB","RB21","85","84.0","RB22","-1.0","1775916e-71ef-4b95-beb7-cc387b7d0a26","100%"
"D'Andre Swift","CHI","RB","RB22","86","88.3","RB24","2.3","59e3addb-e2f7-4d24-8852-eaa61c397dd7","100%"
"Jordan Addison","MIN","WR","WR48","87","87.6","WR47","0.6","010a891d-2b17-4cbc-b8fe-7b3aa74f9e6f","100%"
"Josh Palmer","LAC","WR","WR49","88","101.7","WR52","13.7","5b58b8bc-4e70-4c59-9b39-5d06ff9cc138","100%"
"Jake Ferguson","DAL","TE","TE09","89","84.2","TE09","-4.8","21b4aa19-67f2-4f75-9580-e7de8402ec95","100%"
"Aaron Jones","MIN","RB","RB23","90","81.7","RB21","-8.3","c7a3f5f1-7736-4c0d-9fed-b00b9e39c46b","100%"
"Jayden Daniels","WAS","QB","QB10","91","96.0","QB10","5.0","7596f380-5b00-47a8-9598-a26c2f107188","100%"
"Jordan Love","GB","QB","QB11","92","93.0","QB09","1.0","9edea840-1092-4867-b6ce-7cf21b5a10b0","100%"
"David Njoku","CLE","TE","TE10","93","99.5","TE11","6.5","3346891b-8250-442e-be54-4ffc467140f0","100%"
"Raheem Mostert","MIA","RB","RB24","94","87.7","RB23","-6.3","313f9102-552e-42bb-9de8-8cdd09f9f400","100%"
"Brock Bowers","LV","TE","TE11","95","95.2","TE10","0.2","f5867da2-a5d7-46e0-8c3d-87d8f5679ac3","100%"
"Caleb Williams","CHI","QB","QB12","96","105.3","QB12","9.3","b8771ac8-365e-47ee-8c89-257ce9c3ed1c","100%"
"Zamir White","LV","RB","RB25","97","91.6","RB26","-5.4","1eaa53eb-1685-436a-92f1-5108e9060916","100%"
"Courtland Sutton","DEN","WR","WR50","98","92.5","WR49","-5.5","63578ada-4ed4-4316-9f8a-e9aabc341a12","100%"
"Rashid Shaheed","NO","WR","WR51","99","113.7","WR55","14.7","e589613d-c3de-4dd1-9cfd-2e28677b4341","100%"
"Trevor Lawrence","JAX","QB","QB13","100","117.7","QB14","17.7","cd014c4d-e787-4f56-b0c4-c18b0f98dfd0","100%"
"Jonathon Brooks","CAR","RB","RB26","101","97.0","RB27","-4.0","d4aff586-ebb1-48b4-9046-92ced891b82e","100%"
"Khalil Shakir","BUF","WR","WR52","102","104.2","WR53","2.2","14655452-ddcb-4917-b5d6-16cba10df015","100%"
"Devin Singletary","NYG","RB","RB27","103","110.5","RB34","7.5","afbfb86b-62fa-4d76-850e-106a8bef1227","100%"
"Curtis Samuel","BUF","WR","WR53","104","94.5","WR50","-9.5","5938ed56-9d15-4ddb-bbb6-4f2df360082d","100%"
"Brock Purdy","SF","QB","QB14","105","113.3","QB13","8.3","34410741-ef23-47e5-b6b4-ec1786d934fa","100%"
"Zack Moss","CIN","RB","RB28","106","107.3","RB32","1.3","3e152432-f6e7-42b7-b71e-fd969103ef58","100%"
"Tony Pollard","TEN","RB","RB29","107","99.9","RB29","-7.1","46af6d96-b1c6-420e-8267-e45b7ee6bed2","100%"
"Romeo Doubs","GB","WR","WR54","108","99.0","WR51","-9.0","eab97f05-41eb-44dd-bcd6-b1164453d78f","100%"
"Jaylen Warren","PIT","RB","RB30","109","91.2","RB25","-17.8","f92ed8de-d86d-4837-9230-7ed84bdaf0f3","100%"
"Jakobi Meyers","LV","WR","WR55","110","118.8","WR57","8.8","bd442576-a4ed-474b-9dbd-941891275718","100%"
"Tyler Lockett","SEA","WR","WR56","111","116.2","WR56","5.2","d29d0594-1f4b-4108-8592-046e49e5257f","100%"
"Brian Robinson","WAS","RB","RB31","112","104.8","RB31","-7.2","8f945f72-643c-468a-92f0-5ce4eea02376","100%"
"Javonte Williams","DEN","RB","RB32","113","102.7","RB30","-10.3","4cdb965b-ad70-4a6d-9ab5-2d106a11b98f","100%"
"Dallas Goedert","PHI","TE","TE12","114","116.7","TE12","2.7","b95bd706-6b49-482b-9767-182b062dd5b1","100%"
"Chase Brown","CIN","RB","RB33","115","99.8","RB28","-15.2","3e8980e6-5db5-4abf-bf09-961510c13cca","100%"
"Gabe Davis","JAX","WR","WR57","116","128.7","WR61","12.7","9d484486-6555-41e2-9e4b-b9b4b4a73852","100%"
"Tua Tagovailoa","MIA","QB","QB15","117","122.3","QB15","5.3","b24c197a-b8e2-4ddf-8d0e-b97e30059d08","100%"
"Kirk Cousins","ATL","QB","QB16","118","142.6","QB18","24.6","28d325d3-3f66-4334-8c97-7e886cbb0218","100%"
"Jerry Jeudy","CLE","WR","WR58","119","124.1","WR59","5.1","6cf1940d-9a54-4eb3-ba14-49e9b822d88d","100%"
"Mike Williams","NYJ","WR","WR59","120","133.0","WR63","13.0","ff2e5025-2e5a-42f1-b618-d49879ee4137","100%"
"Tyjae Spears","TEN","RB","RB34","121","110.0","RB33","-11.0","155d3ea9-be02-439b-893f-61cfb7e42e14","100%"
"Brandin Cooks","DAL","WR","WR60","122","122.8","WR58","0.8","dd65067d-22f1-4262-9511-1722ec842441","100%"
"Gus Edwards","LAC","RB","RB35","123","120.5","RB37","-2.5","2642260c-f775-4263-977c-4584914f0418","100%"
"Jerome Ford","CLE","RB","RB36","124","119.6","RB36","-4.4","49edc4f4-dc78-467d-8ddb-a5585fcb54e9","100%"
"Dontayvion Wicks","GB","WR","WR61","125","112.2","WR54","-12.8","a7ee8a74-bffd-4cc1-8afe-c348540218cb","100%"
"Blake Corum","LAR","RB","RB37","126","121.1","RB38","-4.9","e89f7b98-d087-46a4-b20a-53dd65177736","100%"
"Jared Goff","DET","QB","QB17","127","124.9","QB16","-2.1","1c0b3cb2-0f1f-4404-af12-058599ce167f","100%"
"Darnell Mooney","ATL","WR","WR62","128","136.1","WR64","8.1","4d0feb32-2c3d-4ba3-97a5-3255e2d8afd2","100%"
"Rico Dowdle","DAL","RB","RB38","129","117.6","RB35","-11.4","1f9caa40-8697-45ed-838a-c5016d5d2b50","100%"
"Austin Ekeler","WAS","RB","RB39","130","130.3","RB41","0.3","7e7c2085-c78c-4d08-b286-0fe4e199a8b0","100%"
"Trey Benson","ARI","RB","RB40","131","130.1","RB40","-0.9","542c1523-b23e-42fd-add6-29db4ec3dc1d","100%"
"Ezekiel Elliott","DAL","RB","RB41","132","132.5","RB42","0.5","3a7f32f4-cdb6-4be0-a1b5-6c216802dc4c","100%"
"Justin Herbert","LAC","QB","QB18","133","140.2","QB17","7.2","639efdda-8c57-4da3-83d2-30f2471bfc02","100%"
"Zach Charbonnet","SEA","RB","RB42","134","137.7","RB43","3.7","317274c8-462d-4f3f-99c0-6fe632f9c100","100%"
"Dalton Schultz","HOU","TE","TE13","135","134.1","TE14","-0.9","d79e99d3-9a96-438e-a237-b5a1f6309909","100%"
"Ja'Lynn Polk","NE","WR","WR63","136","130.6","WR62","-5.4","0eae9eff-1161-4e23-8038-c359ca6c1410","100%"
"Pat Freiermuth","PIT","TE","TE14","137","130.6","TE13","-6.4","9461990e-fcb5-461a-aef0-cd430b33a1c8","100%"
"Deshaun Watson","CLE","QB","QB19","138","156.9","QB20","18.9","5a586c9b-29bb-4966-822f-20cbf961d487","100%"
"Adam Thielen","CAR","WR","WR64","139","156.9","WR69","17.9","219e05a7-6e17-4f64-a2ae-2023dd01ecb3","100%"
"Josh Downs","IND","WR","WR65","140","147.6","WR66","7.6","eb04ead7-a136-4dfd-9bc0-36062253808f","100%"
"Aaron Rodgers","NYJ","QB","QB20","141","158.2","QB21","17.2","7e343d94-5993-4398-b8e1-d251ce8cddf6","100%"
"Michael Wilson","ARI","WR","WR66","142","145.5","WR65","3.5","56346159-6e3e-4ec5-ab5b-4fa6e70a4aa9","99%"
"Ty Chandler","MIN","RB","RB43","143","138.5","RB44","-4.5","05ae34fa-4c89-4171-aec5-3a9cf44970be","100%"
"Nick Chubb","CLE","RB","RB44","144","127.8","RB39","-16.2","c4ee1373-10f2-47bb-a333-0bbc1047fee3","100%"
"Adonai Mitchell","IND","WR","WR67","145","125.4","WR60","-19.6","808b51b2-dbf2-4023-9231-cd5f910afe6f","100%"
"Baker Mayfield","TB","QB","QB21","146","164.6","QB22","18.6","3d994e25-98b0-4fe4-8e43-45caa3b05889","99%"
"Chuba Hubbard","CAR","RB","RB45","147","148.8","RB48","1.8","3818318a-eae9-4e5e-97b7-fc9c17aff78d","100%"
"Matthew Stafford","LAR","QB","QB22","148","147.6","QB19","-0.4","2c21c617-0373-467a-aa15-1e0e678d9630","100%"
"Cole Kmet","CHI","TE","TE15","149","149.6","TE16","0.6","1a11d2ae-c4b1-400c-bf2e-d4dca13800e6","100%"
"Tyler Allgeier","ATL","RB","RB46","150","142.1","RB45","-7.9","fd40f098-b8ea-462f-9500-a356b073a8c2","100%"
"Wan'Dale Robinson","NYG","WR","WR68","151","173.4","WR75","22.4","e1e19ee9-01a4-472f-8e74-626a4607e6d1","99%"
"T.J. Hockenson","MIN","TE","TE16","152","141.3","TE15","-10.7","83050f3b-3f33-4e5b-ad16-b0a82eefdcbb","100%"
"Sam Darnold","MIN","QB","QB23","153","183.8","QB25","30.8","1507292b-ae32-4d4c-b453-630ba7b1de42","27%"
"Luke Musgrave","GB","TE","TE17","154","151.0","TE17","-3.0","6835cc77-2259-460a-96d2-4593cac34fe4","100%"
"Demario Douglas","NE","WR","WR69","155","159.1","WR70","4.1","ba20ed45-635f-42e7-bd40-6f11de194256","99%"
"Geno Smith","SEA","QB","QB24","156","169.7","QB23","13.7","edb873b8-24e4-46c7-a82e-01efdedd9ff3","99%"
"Antonio Gibson","NE","RB","RB47","157","169.1","RB54","12.1","8455944d-c59f-4f25-a201-2a0785a34543","99%"
"Ray Davis","BUF","RB","RB48","158","153.7","RB50","-4.3","7add997e-ddf5-4dd6-b818-4747a6c23448","99%"
"Jaleel McLaughlin","DEN","RB","RB49","159","152.1","RB49","-6.9","5f0c0506-0633-48ed-82c8-84e8ccca391b","99%"
"Xavier Legette","CAR","WR","WR70","160","151.9","WR68","-8.1","781c6385-c420-4a04-a546-e7244b0f421d","100%"
"Rashod Bateman","BAL","WR","WR71","161","165.3","WR72","4.3","b934b6d1-f3f7-4e85-9093-61752570be82","99%"
"Greg Dortch","ARI","WR","WR72","162","177.8","WR76","15.8","79b314eb-c128-42af-81d1-74d02e202c73","62%"
"Malachi Corley","NYJ","WR","WR73","163","193.1","WR82","30.1","feaa26c4-cff4-487a-970a-ddad711e5b09","98%"
"Noah Fant","SEA","TE","TE18","164","167.2","TE19","3.2","8f7f70cb-d238-4263-a283-67fa1e0d8e88","98%"
"Jalen Tolbert","DAL","WR","WR74","165","165.9","WR73","0.9","1a953802-dab8-461f-983f-7695316f109f","76%"
"Jalen McMillan","TB","WR","WR75","166","169.8","WR74","3.8","d03ce45d-ed3f-40cf-8ae2-a7fb49ef2eab","86%"
"Khalil Herbert","CHI","RB","RB50","167","166.9","RB53","-0.1","b281e42f-9b24-4361-96c1-7ef192f20315","99%"
"Ricky Pearsall","SF","WR","WR76","168","161.6","WR71","-6.4","32b80205-735b-4646-962e-4485d512a029","100%"
"Demarcus Robinson","LAR","WR","WR77","169","178.1","WR77","9.1","156f87f5-8039-4e08-b878-f03c220c2923","97%"
"Hunter Henry","NE","TE","TE19","170","163.4","TE18","-6.6","7d9fe5a5-046a-497a-9edd-cd0fe22704e7","100%"
"Bucky Irving","TB","RB","RB51","171","162.9","RB52","-8.1","2cbcf238-c3f6-456f-966a-8c89943c11f2","99%"
"Jahan Dotson","PHI","WR","WR78","172","151.0","WR67","-21.0","63fee59f-b98f-4a3b-b166-6f5dd8382977","100%"
"Derek Carr","NO","QB","QB25","173","206.2","QB31","33.2","7758c18a-e90d-4730-b4d9-e576e1edde66","82%"
"Tyler Conklin","NYJ","TE","TE20","174","168.4","TE20","-5.6","c1bf2279-8822-483c-a471-eca605165780","99%"
"Marshawn Lloyd","GB","RB","RB52","175","175.2","RB55","0.2","ba62ae9e-6556-4eec-abd8-24061cbc3b64","100%"
"Jaylen Wright","MIA","RB","RB53","176","143.9","RB47","-32.1","ffffe221-e468-4aa4-a89c-814ff9d84e24","100%"
"Jermaine Burton","CIN","WR","WR79","177","182.7","WR78","5.7","7f61052c-f7f1-46a1-9486-afbbdebf9e9e","99%"
"J.K. Dobbins","LAC","RB","RB54","178","143.0","RB46","-35.0","a3694f7f-d96e-4a5c-9965-f877c14cf007","99%"
"Braelon Allen","NYJ","RB","RB55","179","160.2","RB51","-18.8","f55e4b60-80f9-4a44-bc29-a1e8af4d1396","85%"
"Jalin Hyatt","NYG","WR","WR80","180","212.9","WR92","32.9","aa442ff3-158d-4084-bc7d-31672fba2a61","37%"
"Cade Otton","TB","TE","TE21","181","178.6","TE22","-2.4","2f43f271-81a2-428d-be67-22331f8cc23e","99%"
"Luke McCaffrey","WAS","WR","WR81","182","193.9","WR83","11.9","1fe1828f-95e2-4ee6-a853-b15a778297b1","91%"
"Isaiah Likely","BAL","TE","TE22","183","174.3","TE21","-8.7","96e18685-a5d7-4bce-9803-406cd96537cb","99%"
"Juwan Johnson","NO","TE","TE23","184","193.8","TE25","9.8","8e8ab6f3-17ee-4fd2-b267-49e1d20b6d12","83%"
"Will Levis","TEN","QB","QB26","185","176.4","QB24","-8.6","1dab82ca-7aea-4818-b0e0-b56aae0f686f","99%"
"Darius Slayton","NYG","WR","WR82","186","211.4","WR90","25.4","01325253-9619-4ab1-ac44-9f3a0e9be4e9","49%"
"Jordan Mason","SF","RB","RB56","187","181.9","RB56","-5.1","12d3481b-b7f6-4d82-baa4-3305e68d386d","28%"
"Ben Sinnott","WAS","TE","TE24","188","181.0","TE23","-7.0","7c3b8c65-cee7-441a-b656-dc0f9e592075","97%"
"Kimani Vidal","LAC","RB","RB57","189","185.6","RB58","-3.4","4f2cd96c-93ab-4556-b181-a9d5148a5547","98%"
"Andrei Iosivas","CIN","WR","WR83","190","189.5","WR81","-0.5","63eec11c-1dd4-4fc1-9d4c-518113126176","38%"
"Drake Maye","NE","QB","QB27","191","199.7","QB29","8.7","559fb2bc-fb75-45f8-8872-32bdc051ef1b","86%"
"Tyler Boyd","TEN","WR","WR84","192","203.5","WR85","11.5","b85602ca-8575-47c6-9cd5-36aaeaab7038","80%"
"Colby Parkinson","LAR","TE","TE25","193","197.9","TE26","4.9","a12d7960-6735-4cd5-a17b-a6fd9011f9ca","48%"
"Tank Bigsby","JAX","RB","RB58","194","191.6","RB59","-2.4","d5eb08a8-9cfd-4355-8ef8-68520f7ddcc2","56%"
"D.J. Chark","LAC","WR","WR85","195","212.3","WR91","17.3","a3f9a932-cb32-4d30-84c0-7e4347bb909f","66%"
"Justin Fields","PIT","QB","QB28","196","195.8","QB27","-0.2","8b1ee1f2-c7a2-4e99-a044-780eb97933c7","75%"
"Jalen Nailor","MIN","WR","WR86","197","210.0","WR89","13.0","04cb59a9-b8d4-4438-98cd-ce59da76f4a5","8%"
"Josh Reynolds","DEN","WR","WR87","198","215.4","WR103","17.4","d2247d86-c874-48e7-a4c7-b82e26cd5c18","10%"
"Quentin Johnston","LAC","WR","WR88","199","182.8","WR79","-16.2","d1320ecb-9461-4fba-97c1-d40ae8c36cb5","100%"
"Jonnu Smith","MIA","TE","TE26","200","189.5","TE24","-10.5","d22c8282-2db7-48ec-ac2c-825f00eac244","96%"
"Chigoziem Okonkwo","TEN","TE","TE27","201","209.1","TE28","8.1","f71fb47b-cb8d-436b-a9ea-3a8f7d4da6f5","86%"
"Roman Wilson","PIT","WR","WR89","202","207.7","WR88","5.7","ee4764a1-5eaa-450f-bfb6-fda7fd37485f","91%"
"Olamide Zaccheaus","WAS","WR","WR90","203","215.6","WR106","12.6","4d5bde85-4dcc-46e3-a3c2-46cea046d4f9","1%"
"Ray-Ray McCloud","ATL","WR","WR91","204","214.8","WR98","10.8","c9dab34a-6d7e-4d13-931d-32f357da159e","6%"
"Dameon Pierce","HOU","RB","RB59","205","199.5","RB61","-5.5","78a87fe4-0865-48fc-b9a2-cde47573850a","89%"
"Michael Mayer","LV","TE","TE28","206","215.4","TE36","9.4","df7ae891-91f9-4ca9-a9cd-943bf8d3d548","13%"
"Dawson Knox","BUF","TE","TE29","207","213.8","TE32","6.8","0500233c-15fa-4054-a18c-558c519b6ef3","30%"
"Allen Lazard","NYJ","WR","WR92","208","215.6","WR106","7.6","87636b39-9e67-42b6-afa6-2e0e3c51e6e1","4%"
"Cedrick Wilson","NO","WR","WR93","209","216.0","WR123","7.0","cd9c142f-9c93-4088-9213-9538c40b94ec","1%"
"Noah Brown","HOU","WR","WR94","210","215.8","WR115","5.8","e14e3303-2bf3-4cf2-841f-f4861320d1d8","5%"
