"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential",
"San Francisco 49ers","SF","DST","161","DST2","90.3","DST1","-70.8",
"Roschon Johnson","CHI","RB","162","RB52","197.3","RB59","35.3",
"Curtis Samuel","WAS","WR","163","WR70","234.0","WR78","71.0",
"Hunter Renfrow","LV","WR","164","WR71","219.8","WR74","55.8",
"Justin Tucker","BAL","K","165","K1","98.0","K1","-67.0",
"Philadelphia Eagles","PHI","DST","166","DST3","112.5","DST3","-53.5",
"Cole Kmet","CHI","TE","167","TE24","126.0","TE12","-41.0",
"Kendre Miller","NO","RB","168","RB53","167.7","RB50","-0.3",
"Jerome Ford","CLE","RB","169","RB54","204.5","RB60","35.5",
"Jared Goff","DET","QB","170","QB17","138.3","QB17","-31.8",
"Jameson Williams","DET","WR","171","WR72","148.8","WR52","-22.3",
"Chuba Hubbard","CAR","RB","172","RB55","208.3","RB62","36.3",
"Isaiah Hodgins","NYG","WR","173","WR73","231.7","WR77","58.7",
"Hunter Henry","NE","TE","174","TE25","225.5","TE30","51.5",
"Russell Wilson","DEN","QB","175","QB18","142.5","QB18","-32.5",
"Mecole Hardman","NYJ","WR","176","WR74","258.3","WR85","82.3",
"Evan McPherson","CIN","K","177","K2","132.3","K5","-44.8",
"Younghoe Koo","ATL","K","178","K3","138.8","K8","-39.3",
"Tyler Bass","BUF","K","179","K4","131.8","K4","-47.3",
"Jason Myers","SEA","K","180","K5","136.0","K6","-44.0",
"Buffalo Bills","BUF","DST","181","DST4","109.8","DST2","-71.3",
"Harrison Butker","KC","K","182","K6","136.3","K7","-45.8",
"New England Patriots","NE","DST","183","DST5","124.8","DST6","-58.3",
"Alec Pierce","IND","WR","184","WR75","221.3","WR75","37.3",
"Leonard Fournette","FA","RB","185","RB56","206.3","RB61","21.3",
"Riley Patterson","DET","K","186","K7","207.0","K16","21.0",
"Clyde Edwards-Helaire","KC","RB","187","RB57","196.0","RB58","9.0",
"Wil Lutz","NO","K","188","K8","228.7","K21","40.7",
"Kyren Williams","LAR","RB","189","RB58","194.0","RB56","5.0",
"Donovan Peoples-Jones","CLE","WR","190","WR76","197.0","WR68","7.0",
"Dustin Hopkins","LAC","K","191","K9","Unranked","Unranked",,
"Brandon McManus","JAX","K","192","K10","194.8","K15","2.8",
"Jake Moody","SF","K","193","K11","211.0","K17","18.0",
"Washington Commanders","WAS","DST","194","DST6","195.8","DST15","1.8",
"Kareem Hunt","FA","RB","195","RB59","211.0","RB63","16.0",
"Daniel Carlson","LV","K","196","K12","116.0","K2","-80.0",
"Jake Elliott","PHI","K","197","K13","159.8","K9","-37.3",
"Greg Joseph","MIN","K","198","K14","220.0","K19","22.0",
"Cairo Santos","CHI","K","199","K15","Unranked","Unranked",,
"Brett Maher","DEN","K","200","K16","218.0","K18","18.0",
"Jason Sanders","MIA","K","201","K17","194.0","K14","-7.0",
"Joshua Kelley","LAC","RB","202","RB60","224.0","RB67","22.0",
"Kenny Pickett","PIT","QB","203","QB19","173.0","QB21","-30.0",
"Tyler Conklin","NYJ","TE","204","TE26","223.8","TE29","19.8",
"Cade York","CLE","K","205","K18","Unranked","Unranked",,
"Chris Boswell","PIT","K","206","K19","221.7","K20","15.7",
"Greg Zuerlein","NYJ","K","207","K20","178.0","K11","-29.0",
"Rashid Shaheed","NO","WR","208","WR77","255.0","WR84","47.0",
"Nick Folk","NE","K","209","K21","192.7","K12","-16.3",
"Sam Howell","WAS","QB","210","QB20","211.3","QB27","1.3",
"Ezekiel Elliott","NE","RB","211","RB61","138.0","RB42","-73.0",
"Los Angeles Chargers","LAC","DST","212","DST7","219.0","DST22","7.0",
"Graham Gano","NYG","K","213","K22","162.0","K10","-51.0",
"Matt Gay","IND","K","214","K23","193.8","K13","-20.3",
"Tanner Brown","LAR","K","215","K24","Unranked","Unranked",,
"Ty Chandler","MIN","RB","216","RB62","218.5","RB65","2.5",
"Eddy Pineiro","CAR","K","217","K25","129.0","K3","-88.0",
"Cleveland Browns","CLE","DST","218","DST8","199.0","DST18","-19.0",
"Anders Carlson","GB","K","219","K26","Unranked","Unranked",,
"Michael Mayer","LV","TE","220","TE27","209.8","TE25","-10.3",
"Joey Slye","WAS","K","221","K27","Unranked","Unranked",,
"Jacksonville Jaguars","JAX","DST","222","DST9","198.3","DST17","-23.8",
"Trey McBride","ARI","TE","223","TE28","272.0","TE33","49.0",
"Chase McLaughlin","TB","K","224","K28","Unranked","Unranked",,
"New Orleans Saints","NO","DST","225","DST10","158.8","DST11","-66.3",
"Noah Fant","SEA","TE","226","TE29","250.7","TE31","24.7",
"Jalin Hyatt","NYG","WR","227","WR78","166.8","WR57","-60.3",
"Ka'imi Fairbairn","HOU","K","228","K29","Unranked","Unranked",,
"Matt Prater","ARI","K","229","K30","242.5","K22","13.5",
"Baltimore Ravens","BAL","DST","230","DST11","136.8","DST7","-93.3",
"Caleb Shudak","TEN","K","231","K31","Unranked","Unranked",,
"Kansas City Chiefs","KC","DST","232","DST12","156.8","DST10","-75.3",
"New York Jets","NYJ","DST","233","DST13","124.5","DST5","-108.5",
"Chris Evans","CIN","RB","234","RB63","268.0","RB71","34.0",
"Denver Broncos","DEN","DST","235","DST14","196.8","DST16","-38.3",
"Derek Carr","NO","QB","236","QB21","161.8","QB19","-74.3",
"Tennessee Titans","TEN","DST","237","DST15","Unranked","Unranked",,
"Michael Wilson","ARI","WR","238","WR79","260.5","WR86","22.5",
"Atlanta Falcons","ATL","DST","239","DST16","255.0","DST28","16.0",
"Detroit Lions","DET","DST","240","DST17","214.7","DST21","-25.3",
"Pittsburgh Steelers","PIT","DST","241","DST18","141.3","DST8","-99.8",
"Jimmy Garoppolo","LV","QB","242","QB22","212.5","QB28","-29.5",
