"Name","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential","Id"
"Michael Thomas","FA","WR","246","WR107","229.7","WR126","-16.3","653699"
"Jamaal Williams","NO","RB","247","RB73","226.1","RB75","-20.9","695311"
"Trey Palmer","TB","WR","248","WR108","226.3","WR109","-21.7","1161739"
"Alexander Mattison","LV","RB","249","RB74","221.9","RB69","-27.1","944343"
"Jonathan Mingo","CAR","WR","250","WR109","228.1","WR122","-21.9","1176782"
"Marquez Valdes-Scantling","BUF","WR","251","WR110","224.4","WR98","-26.6","742382"
"Brenden Rice","LAC","WR","252","WR111","227.0","WR114","-25.0","1225999"
"Hayden Hurst","LAC","TE","253","TE36","227.6","TE38","-25.4","881956"
"Van Jefferson","PIT","WR","254","WR112","225.6","WR103","-28.4","884080"
"Marvin Mims","DEN","WR","255","WR113","187.9","WR78","-67.1","1213799"
"Miles Sanders","CAR","RB","256","RB75","226.0","RB74","-30.0","924261"
"Johnny Wilson","PHI","WR","257","WR114","229.6","WR125","-27.4","1213486"
"Malik Washington","MIA","WR","258","WR115","228.0","WR119","-30.0","1173255"
"Eric Gray","NYG","RB","259","RB76","216.4","RB68","-42.6","1161798"
"Odell Beckham Jr.","MIA","WR","260","WR116","226.6","WR110","-33.4","589984"
"Hunter Renfrow","FA","WR","261","WR117","225.7","WR105","-35.3","841649"
"A.J. Dillon","GB","RB","262","RB77","208.0","RB64","-54.0","1060545"
"Alec Pierce","IND","WR","263","WR118","226.9","WR112","-36.1","1107027"
"Davis Allen","LAR","TE","264","TE37","230.0","TE46","-34.0","1161664"
"Trey Sermon","IND","RB","265","RB78","229.9","RB84","-35.1","976236"
"Zach Ertz","WAS","TE","266","TE38","216.9","TE30","-49.1","503177"
"Gardner Minshew","LV","QB","267","QB33","218.4","QB33","-48.6","867303"
"Bo Melton","GB","WR","268","WR119","230.5","WR128","-37.5","1068803"
"Tanner Hudson","CIN","TE","269","TE39","229.7","TE45","-39.3","1115394"
"Nelson Agholor","BAL","WR","270","WR120","226.1","WR108","-43.9","691055"
"Trenton Irwin","CIN","WR","271","WR121","224.9","WR100","-46.1","884943"
"Jordan Whittington","LAR","WR","272","WR122","220.4","WR92","-51.6","1163273"
"Isaiah Davis","NYJ","RB","273","RB79","226.1","RB76","-46.9","1271609"
"Cedric Tillman","CLE","WR","274","WR123","231.4","WR129","-42.6","1124664"
"Ja'Tavion Sanders","CAR","TE","275","TE40","225.4","TE34","-49.6","1326628"
"Ty Johnson","BUF","RB","276","RB80","230.5","RB86","-45.5","877784"
"Carson Steele","KC","RB","277","RB81","226.6","RB79","-50.4","1319219"
"Gerald Everett","CHI","TE","278","TE41","228.2","TE41","-49.8","838487"
"Chase Edmonds","TB","RB","279","RB82","260.0","RB88","-19.0","832900"
"Rasheen Ali","BAL","RB","280","RB83","231.9","RB87","-48.1","1229133"
"Logan Thomas","FA","TE","281","TE42","227.2","TE35","-53.8","507528"
"Xavier Gipson","NYJ","WR","282","WR124","225.6","WR104","-56.4","1177970"
"Jeremy Ruckert","NYJ","TE","283","TE43","227.9","TE39","-55.1","1122596"
"Tommy Tremble","CAR","TE","284","TE44","227.4","TE37","-56.6","1130555"
"Donovan Peoples-Jones","DET","WR","285","WR125","225.0","WR101","-60.0","1050234"
"Kylen Granson","IND","TE","286","TE45","228.3","TE42","-57.7","921050"
"Evan Hull","IND","RB","287","RB84","228.8","RB82","-58.2","1173266"
"Braxton Berrios","MIA","WR","288","WR126","224.9","WR99","-63.1","820866"
"D'Ernest Johnson","JAX","RB","289","RB85","228.2","RB80","-60.8","839043"
"Noah Gray","KC","TE","290","TE46","227.2","TE36","-62.8","1056981"
"Brandon Powell","MIN","WR","291","WR127","227.6","WR115","-63.4","820435"
"Mecole Hardman","KC","WR","292","WR128","225.8","WR106","-66.2","922026"
"Isaac Guerendo","SF","RB","293","RB86","228.6","RB81","-64.4","1126338"
"Tutu Atwell","LAR","WR","294","WR129","225.3","WR102","-68.7","1106760"
"Deuce Vaughn","DAL","RB","295","RB87","230.4","RB85","-64.6","1228925"
"Donald Parham","LAC","TE","296","TE47","228.4","TE43","-67.6","875649"
"Deneric Prince","KC","RB","297","RB88","226.3","RB78","-70.7","1128998"
"Laviska Shenault","SEA","WR","298","WR130","260.0","WR130","-38.0","1061929"
"Tyler Higbee","LAR","TE","299","TE48","232.0","TE48","-67.0","604176"
"Chris Moore","ARI","WR","300","WR131","260.0","WR130","-40.0","606551"
