ID,NAME,POS,FPTS/G,FPTS,PPGOR
14985,Ryan Griffin,TE,6.3,57.1,-5.947619048
16781,Nelson Agholor,WR,4.3,56.3,-10.52
14496,Garrett Celek,TE,5.1,55.6,-7.147619048
12847,Andrew Hawkins,WR,7,55.6,-7.82
16919,J.J. Nelson,WR,5,54.9,-9.82
14978,Justin Hunter,WR,6,54.4,-8.82
16063,Quincy Enunwa,WR,4.5,53.5,-10.32
14795,Josh Bellamy,WR,3.3,53.4,-11.52
12153,Ed Dickson,TE,3.3,53.1,-8.947619048
16129,Taylor Gabriel,WR,4.1,53.1,-10.72
14872,Mike Gillislee,RB,10.5,52.6,-2.019047619
16626,Tre Mason,RB,4,52.5,-8.519047619
14731,Lance Dunbar,RB,13,52.2,0.480952381
3867,Tony Romo,QB,12.9,51.66,-7.8
16175,Zach Mettenberger,QB,7.3,51.2,-13.4
11084,Marc Mariani,WR,3.2,50.7,-11.62
9079,Percy Harvin,WR,10,49.9,-4.82
16834,Tevin Coleman,RB,4,48.6,-8.519047619
16831,Jaelen Strong,WR,4.8,48.1,-10.02
16790,Phillip Dorsett II,WR,4.3,47.2,-10.52
15694,Case Keenum,QB,7.8,46.62,-12.9
11026,Jermaine Gresham,TE,3.1,46.3,-9.147619048
16899,Rashad Greene,WR,5.1,46.3,-9.72
14352,Travaris Cadet,RB,6.6,46.2,-5.919047619
16031,Damien Williams,RB,2.9,46.1,-9.619047619
6597,Greg Jennings,WR,2.9,45.8,-11.92
8604,Donald Brown,RB,4.6,45.7,-7.919047619
16305,De'Anthony Thomas,WR,4.5,45.4,-10.32
15268,Nick Williams,WR,3.2,44.9,-11.62
14594,Griff Whalen,WR,3.2,44.4,-11.62
15263,Luke Willson,TE,3.2,44.3,-9.047619048
16258,Marqise Lee,WR,4.4,43.9,-10.42
16343,Javontee Herndon,WR,5.5,43.8,-9.32
13255,Matt Asiata,RB,2.7,43.4,-9.819047619
12794,Jeremy Kerley,WR,2.7,43.2,-12.12
14219,Kellen Moore,QB,14.4,43.06,-6.3
2220,Ahmad Bradshaw,RB,7.2,42.9,-5.319047619
16837,Chris Conley,WR,2.7,42.9,-12.12
14868,EJ Manuel,QB,6.1,42.84,-14.6
16909,Jay Ajayi,RB,4.7,42.7,-7.819047619
12551,Jordan Norwood,WR,3.9,42.7,-10.92
16855,Ty Montgomery,WR,7,42,-7.82
3330,Miles Austin,WR,3.8,41.4,-11.02
16868,Justin Hardy,WR,4.5,40.4,-10.32
