id,Name,adp_final,Position,Team,rank
1c0b3cb2-0f1f-4404-af12-058599ce167f,Jared Goff,124.6,QB,DET,123.78787878787878
6cf1940d-9a54-4eb3-ba14-49e9b822d88d,Jerry Jeudy,123.5,WR,CLE,124.58181818181818
2642260c-f775-4263-977c-4584914f0418,Gus Edwards,120.5,RB,LAC,125.49090909090908
9461990e-fcb5-461a-aef0-cd430b33a1c8,Pat Freiermuth,128.6,TE,PIT,125.65636363636362
4d0feb32-2c3d-4ba3-97a5-3255e2d8afd2,Darnell Mooney,141.8,WR,ATL,126.88722727272727
9d484486-6555-41e2-9e4b-b9b4b4a73852,Gabe Davis,132.1,WR,JAX,127.3151515151515
808b51b2-dbf2-4023-9231-cd5f910afe6f,Adonai Mitchell,128.2,WR,IND,128.11515151515152
ffffe221-e468-4aa4-a89c-814ff9d84e24,Jaylen Wright,151.9,RB,MIA,129.18
7e7c2085-c78c-4d08-b286-0fe4e199a8b0,Austin Ekeler,131.2,RB,WAS,129.4969696969697
542c1523-b23e-42fd-add6-29db4ec3dc1d,Trey Benson,122.3,RB,ARI,129.7090909090909
c4ee1373-10f2-47bb-a333-0bbc1047fee3,Nick Chubb,127.6,RB,CLE,132.57575757575756
ff2e5025-2e5a-42f1-b618-d49879ee4137,Mike Williams,133.8,WR,NYJ,132.73333333333332
3a7f32f4-cdb6-4be0-a1b5-6c216802dc4c,Ezekiel Elliott,126.5,RB,DAL,133.11515151515152
28d325d3-3f66-4334-8c97-7e886cbb0218,Kirk Cousins,143.9,QB,ATL,133.21212121212122
49edc4f4-dc78-467d-8ddb-a5585fcb54e9,Jerome Ford,125.9,RB,CLE,133.65454545454546
f55e4b60-80f9-4a44-bc29-a1e8af4d1396,Braelon Allen,181.7,RB,NYJ,135.90907272727273
dd65067d-22f1-4262-9511-1722ec842441,Brandin Cooks,116.3,WR,DAL,136.45454545454547
05ae34fa-4c89-4171-aec5-3a9cf44970be,Ty Chandler,140.0,RB,MIN,137.57575757575756
639efdda-8c57-4da3-83d2-30f2471bfc02,Justin Herbert,140.9,QB,LAC,138.78181818181818
d79e99d3-9a96-438e-a237-b5a1f6309909,Dalton Schultz,133.0,TE,HOU,140.15151515151516
781c6385-c420-4a04-a546-e7244b0f421d,Xavier Legette,151.8,WR,CAR,141.67636363636365
eb04ead7-a136-4dfd-9bc0-36062253808f,Josh Downs,140.9,WR,IND,142.6
56346159-6e3e-4ec5-ab5b-4fa6e70a4aa9,Michael Wilson,154.7,WR,ARI,143.19818181818184
83050f3b-3f33-4e5b-ad16-b0a82eefdcbb,T.J. Hockenson,142.9,TE,MIN,144.98181818181817
3818318a-eae9-4e5e-97b7-fc9c17aff78d,Chuba Hubbard,153.0,RB,CAR,148.46666666666667
2cbcf238-c3f6-456f-966a-8c89943c11f2,Bucky Irving,170.5,RB,TB,148.53393939393942
5f0c0506-0633-48ed-82c8-84e8ccca391b,Jaleel McLaughlin,153.5,RB,DEN,148.78181818181818
7add997e-ddf5-4dd6-b818-4747a6c23448,Ray Davis,161.7,RB,BUF,149.3030303030303
2c21c617-0373-467a-aa15-1e0e678d9630,Matthew Stafford,147.8,QB,LAR,149.86060606060605
1507292b-ae32-4d4c-b453-630ba7b1de42,Sam Darnold,214.9,QB,MIN,151.29999999999998
