Player,Times_Drafted,Made_Playoffs,Advance_Rate
Pharaoh Brown,7,1,14.29%
Ross Dwelley,7,1,14.29%
Trinity Benson,7,1,14.29%
Phillip Dorsett,7,1,14.29%
Damien Williams,10395,1483,14.27%
Jonnu Smith,12960,1846,14.24%
Patrick Mahomes,12960,1844,14.23%
Trent Sherfield,141,20,14.18%
Justin Jackson,2437,345,14.16%
James Washington,976,138,14.14%
Phillip Lindsay,12556,1774,14.13%
Taysom Hill,4915,694,14.12%
Rondale Moore,12960,1825,14.08%
Amari Rodgers,7284,1022,14.03%
Kareem Hunt,12960,1816,14.01%
Baker Mayfield,12953,1812,13.99%
Matt Ryan,12960,1811,13.97%
Josh Reynolds,5601,782,13.96%
Benny Snell,79,11,13.92%
Dak Prescott,12960,1804,13.92%
David Montgomery,12960,1803,13.91%
Zach Wilson,12681,1762,13.89%
Chris Conley,282,39,13.83%
Tylan Wallace,246,34,13.82%
Nico Collins,9860,1361,13.80%
James O'Shaughnessy,29,4,13.79%
Simi Fehoko,29,4,13.79%
Terry McLaurin,12960,1787,13.79%
Adam Trautman,12226,1685,13.78%
Kyler Murray,12960,1784,13.77%
Breshad Perriman,10567,1453,13.75%
Taylor Heinicke,51,7,13.73%
Anthony Firkser,12669,1736,13.70%
Mike Boone,146,20,13.70%
Odell Beckham,12960,1775,13.70%
Ihmir Smith-Marsette,301,41,13.62%
Jerick McKinnon,6487,877,13.52%
Ty'Son Williams,2360,319,13.52%
Wayne Gallman,2101,283,13.47%
Juwan Johnson,684,92,13.45%
Jalen Reagor,12960,1742,13.44%
K.J. Hamler,11798,1584,13.43%
Lil'Jordan Humphrey,60,8,13.33%
Jameis Winston,10287,1371,13.33%
Carlos Hyde,1956,260,13.29%
Ezekiel Elliott,12960,1717,13.25%
D'Wayne Eskridge,9895,1310,13.24%
Drew Sample,53,7,13.21%
Adam Humphries,2232,293,13.13%
Kyle Rudolph,61,8,13.11%
Denzel Mims,6629,869,13.11%
Deshaun Watson,7411,971,13.10%
Tarik Cohen,5319,695,13.07%
Corey Clement,23,3,13.04%
Kyle Pitts,12960,1682,12.98%
Travis Kelce,12960,1679,12.96%
Blake Jarwin,12614,1610,12.76%
Darrynton Evans,9032,1151,12.74%
Dazz Newsome,119,15,12.61%
N'Keal Harry,326,41,12.58%
