ID,NAME,TEAM,BYE,AGE,POS,POS RK,ADP
37,Buffalo Bills,BUF,7,,DST,DST11,150.8
18935,Gerald Everett,SEA,,27,TE,TE15,150.8
90,Seattle Seahawks,SEA,9,,DST,DST12,151.7
19867,Michael Gallup,DAL,7,25,WR,WR55,152
18928,Curtis Samuel,WAS,9,25,WR,WR56,153
16775,DeVante Parker,MIA,14,29,WR,WR57,154
21045,Marquise Brown,BAL,8,24,WR,WR58,155
17048,Tyrell Williams,DET,,30,WR,WR59,156
17961,Sterling Shepard,NYG,10,29,WR,WR60,157
48,Dallas Cowboys,DAL,7,,DST,DST13,157
22626,Rondale Moore,ARI,12,21,WR,WR61,158
14141,Cole Beasley,BUF,7,32,WR,WR62,159
11063,Emmanuel Sanders,BUF,7,34,WR,WR63,160
16781,Nelson Agholor,NE,14,28,WR,WR64,161
22685,Terrace Marshall Jr.,CAR,13,21,WR,WR65,162
21686,Jalen Reagor,PHI,14,23,WR,WR66,163
19897,Tre'Quan Smith,NO,6,26,WR,WR67,164
21736,Bryan Edwards,LV,8,23,WR,WR68,165
8,Cleveland Browns,CLE,13,,DST,DST14,165.6
21735,Gabriel Davis,BUF,7,22,WR,WR69,166
64,Miami Dolphins,MIA,14,,DST,DST15,166.2
12845,A.J. Green,ARI,12,33,WR,WR70,167
13227,Randall Cobb,GB,13,31,WR,WR71,168
5,Carolina Panthers,CAR,13,,DST,DST16,168.7
21005,Parris Campbell,IND,14,24,WR,WR72,169
16866,Jamison Crowder,NYJ,6,28,WR,WR73,170
12,Green Bay Packers,GB,13,,DST,DST17,170.2
2,Atlanta Falcons,ATL,6,,DST,DST18,170.7
21756,Nico Collins,HOU,10,22,WR,WR74,171
22587,Amon-Ra St. Brown,DET,9,22,WR,WR75,172
38,Chicago Bears,CHI,10,,DST,DST19,173
21739,Van Jefferson,LAR,11,25,WR,WR76,173
55,Kansas City Chiefs,KC,12,,DST,DST20,173.2
20943,Darius Slayton,NYG,10,25,WR,WR77,174
52,Jacksonville Jaguars,JAX,7,,DST,DST21,174.4
20924,Hunter Renfrow,LV,8,26,WR,WR78,175
16003,Sammy Watkins,BAL,8,28,WR,WR79,176
26,Philadelphia Eagles,PHI,14,,DST,DST22,177
19815,Christian Kirk,ARI,12,25,WR,WR80,177
82,New York Jets,NYJ,6,,DST,DST23,178
19976,Marquez Valdes-Scantling,GB,13,27,WR,WR81,178
