"Player","Team","Opponent","Position","DK Points","DKSalary","FD Points","FDSalary","DKSlateID","FDSlateID","Slate"
"Tommy Hudson","DEN","ARI","TE","1.2","5500","0.8","6000","28891037","92651-60791","Main"
"John Bates","WAS","CLE","TE","1.2","5500","0.9","6000","28890961","92651-72705","Main"
"Daniel Helm","DET","NYG","TE","1.1","5500","0.9","6000","28890997","92651-52463","Main"
"Eric Saubert","MIA","ATL","TE","1.1","5500","0.8","6000","28890983","92651-79980","Main"
"Chris Manhertz","DEN","ARI","TE","1.0","5500","0.7","6000","28891013","92651-18009","Main"
"Connor Heyward","PIT","TB","TE","1.0","5500","0.7","6000","28891017","92651-92882","Main"
"Josiah Deguara","GB","CIN","TE","0.8","5500","0.6","6000","28890965","92651-61112","Main"
"Durham Smythe","MIA","ATL","TE","0.8","5500","0.7","6000","28890937","92651-42046","Main"
"Cade Otton","TB","PIT","TE","0.8","5500","0.7","6000","28890931","92651-86811","Main"
"Ko Kieft","TB","PIT","TE","0.7","5500","0.7","6000","28890993","92651-68714","Main"
"Trey McBride","ARI","DEN","TE","0.6","5500","0.6","6000","28890951","92651-91750","Main"
