Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val,Strategy,Elite Onesie
1,RB,Christian Mccaffrey,CAR,1,2,2.6,-0.6,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,TE,Mark Andrews,BAL,2,23,19.3,3.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,Saquon Barkley,NYG,3,26,25.7,0.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,James Conner,AZ,4,47,34.8,12.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,Cam Akers,LAR,5,50,43.5,6.5,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Allen Robinson,LAR,6,71,62.1,8.9,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,QB,Russell Wilson,DEN,7,74,69.8,4.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,QB,Matthew Stafford,LAR,8,95,85.7,9.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Skyy Moore,KC,9,98,102.3,-4.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,RB,Kenneth Walker,SEA,10,119,99.3,19.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,DJ Chark,DET,11,122,141.5,-19.5,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Michael Gallup,DAL,12,143,114.3,28.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,TE,Tyler Higbee,LAR,13,146,160.2,-14.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,KJ Osborn,MIN,14,167,171.3,-4.3,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Alec Pierce,IND,15,170,172.8,-2.8,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,QB,Mac Jones,NE,16,191,168.8,22.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Kendrick Bourne,NE,17,194,182.2,11.8,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Tyquan Thorton,NE,18,215,228.2,-13.2,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,Ihmir Smith-Marsette,MIN,19,218,218,0,5/13/2022,94.3,Hyperfragile RB,Elite TE
1,WR,James Washington,DAL,20,239,213.3,25.7,5/13/2022,94.3,Hyperfragile RB,Elite TE
2,RB,Najee Harris,PIT,1,12,8,4,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,Dalvin Cook,MIN,2,13,10,3,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,DJ Moore,CAR,3,36,29.6,6.4,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,James Conner,AZ,4,37,30.1,6.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,JuJu Smith-Schuster,KC,5,60,56.1,3.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,QB,Kyler Murray,AZ,6,61,52.1,8.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Adam Thielen,MIN,7,84,74.1,9.9,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Hunter Renfrow,LV,8,85,73.7,11.3,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Christian Watson,GB,9,108,114.4,-6.4,5/13/2022,112.8,Hyperfragile RB,Neither
2,QB,Aaron Rodgers,GB,10,109,90.3,18.7,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,Rachaad White,TB,11,132,133,-1,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Jakobi Meyers,NE,12,133,134.5,-1.5,5/13/2022,112.8,Hyperfragile RB,Neither
2,TE,Robert Tonyan,GB,13,156,151.2,4.8,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Jahan Dotson,WAS,14,157,159.8,-2.8,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Alec Pierce,IND,15,180,170,10,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Donovan Peoples-Jones,CLE,16,181,183.1,-2.1,5/13/2022,112.8,Hyperfragile RB,Neither
2,WR,Wandale Robinson,NYG,17,204,208.4,-4.4,5/13/2022,112.8,Hyperfragile RB,Neither
2,TE,Trey Mcbride,AZ,18,205,205,0,5/13/2022,112.8,Hyperfragile RB,Neither
2,TE,Brevin Jordan,HOU,19,228,213.9,14.1,5/13/2022,112.8,Hyperfragile RB,Neither
2,RB,Marlon Mack,HOU,20,229,199.9,29.1,5/13/2022,112.8,Hyperfragile RB,Neither
3,RB,Jonathan Taylor,IND,1,1,1.1,-0.1,5/13/2022,71.1,Anchor RB,Neither
3,WR,AJ Brown,PHI,2,24,18.1,5.9,5/13/2022,71.1,Anchor RB,Neither
3,RB,Saquon Barkley,NYG,3,25,23.4,1.6,5/13/2022,71.1,Anchor RB,Neither
3,WR,DK Metcalf,SEA,4,48,33.1,14.9,5/13/2022,71.1,Anchor RB,Neither
3,WR,Chris Godwin,TB,5,49,48.1,0.9,5/13/2022,71.1,Anchor RB,Neither
3,WR,JuJu Smith-Schuster,KC,6,72,62.1,9.9,5/13/2022,71.1,Anchor RB,Neither
3,QB,Tom Brady,TB,7,73,71.5,1.5,5/13/2022,71.1,Anchor RB,Neither
3,RB,Clyde Edwards-Helaire,KC,8,96,88.9,7.1,5/13/2022,71.1,Anchor RB,Neither
3,WR,Skyy Moore,KC,9,97,98,-1,5/13/2022,71.1,Anchor RB,Neither
3,WR,Christian Watson,GB,10,120,115.5,4.5,5/13/2022,71.1,Anchor RB,Neither
3,RB,Rachaad White,TB,11,121,132.3,-11.3,5/13/2022,71.1,Anchor RB,Neither
3,WR,Corey Davis,NYJ,12,144,141.9,2.1,5/13/2022,71.1,Anchor RB,Neither
3,TE,Noah Fant,SEA,13,145,144,1,5/13/2022,71.1,Anchor RB,Neither
3,WR,Will Fuller,,14,168,163.7,4.3,5/13/2022,71.1,Anchor RB,Neither
3,QB,Daniel Jones,NYG,15,169,158.5,10.5,5/13/2022,71.1,Anchor RB,Neither
3,WR,Jalen Tolbert,DAL,16,192,192,0,5/13/2022,71.1,Anchor RB,Neither
3,WR,KJ Hamler,DEN,17,193,190.7,2.3,5/13/2022,71.1,Anchor RB,Neither
3,TE,Brevin Jordan,HOU,18,216,213.9,2.1,5/13/2022,71.1,Anchor RB,Neither
3,RB,Sony Michel,MIA,19,217,214.2,2.8,5/13/2022,71.1,Anchor RB,Neither
3,TE,Greg Dulcich,DEN,20,240,227.9,12.1,5/13/2022,71.1,Anchor RB,Neither
4,WR,Justin Jefferson,MIN,1,7,4.5,2.5,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Deebo Samuel,SF,2,17,18.5,-1.5,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Javonte Williams,DEN,3,31,26.1,4.9,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,DJ Moore,CAR,4,42,40,2,5/13/2022,54.3,Anchor RB,Elite QB
4,QB,Kyler Murray,AZ,5,55,53.2,1.8,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Amon-Ra St. Brown,DET,6,66,63.7,2.3,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Elijah Mitchell,SF,7,79,73.3,5.7,5/13/2022,54.3,Anchor RB,Elite QB
4,QB,Trey Lance,SF,8,90,99,-9,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Kadarius Toney,NYG,9,103,103,0,5/13/2022,54.3,Anchor RB,Elite QB
4,TE,Zach Ertz,AZ,10,114,113,1,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Rondale Moore,AZ,11,127,120.3,6.7,5/13/2022,54.3,Anchor RB,Elite QB
4,TE,Rob Gronkowski,TB,12,138,133,5,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,Jakobi Meyers,NE,13,151,133.9,17.1,5/13/2022,54.3,Anchor RB,Elite QB
4,WR,KJ Osborn,MIN,14,162,162,0,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Khalil Herbert,CHI,15,175,173,2,5/13/2022,54.3,Anchor RB,Elite QB
4,TE,Logan Thomas,WAS,16,186,177,9,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Donta Foreman,CAR,17,199,199,0,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Sony Michel,MIA,18,210,210,0,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Kenyan Drake,LV,19,223,218.2,4.8,5/13/2022,54.3,Anchor RB,Elite QB
4,RB,Chris Evans,CIN,20,234,234,0,5/13/2022,54.3,Anchor RB,Elite QB
5,WR,Cooper Kupp,LAR,1,4,2.7,1.3,5/13/2022,221.5,Anchor RB,Neither
5,RB,Alvin Kamara,NO,2,21,18.9,2.1,5/13/2022,221.5,Anchor RB,Neither
5,WR,Mike Evans,TB,3,28,19.6,8.4,5/13/2022,221.5,Anchor RB,Neither
5,WR,DJ Moore,CAR,4,45,40.1,4.9,5/13/2022,221.5,Anchor RB,Neither
5,WR,Jerry Jeudy,DEN,5,52,51.9,0.1,5/13/2022,221.5,Anchor RB,Neither
5,QB,Kyler Murray,AZ,6,69,53.1,15.9,5/13/2022,221.5,Anchor RB,Neither
5,WR,Devonta Smith,PHI,7,77,58.9,18.1,5/13/2022,221.5,Anchor RB,Neither
5,QB,Russell Wilson,DEN,8,93,69.2,23.8,5/13/2022,221.5,Anchor RB,Neither
5,RB,Kareem Hunt,CLE,9,100,100,0,5/13/2022,221.5,Anchor RB,Neither
5,WR,Christian Kirk,JAX,10,117,97.8,19.2,5/13/2022,221.5,Anchor RB,Neither
5,WR,Robert Woods,TEN,11,124,101.8,22.2,5/13/2022,221.5,Anchor RB,Neither
5,WR,Rondale Moore,AZ,12,141,120.3,20.7,5/13/2022,221.5,Anchor RB,Neither
5,TE,Tyler Higbee,LAR,13,148,148,0,5/13/2022,221.5,Anchor RB,Neither
5,RB,James Robinson,JAX,14,165,147,18,5/13/2022,221.5,Anchor RB,Neither
5,RB,Darrell Henderson,LAR,15,172,153.2,18.8,5/13/2022,221.5,Anchor RB,Neither
5,WR,KJ Hamler,DEN,16,189,186,3,5/13/2022,221.5,Anchor RB,Neither
5,TE,Logan Thomas,WAS,17,196,177,19,5/13/2022,221.5,Anchor RB,Neither
5,RB,Donta Foreman,CAR,18,213,199,14,5/13/2022,221.5,Anchor RB,Neither
5,RB,Sony Michel,MIA,19,220,208,12,5/13/2022,221.5,Anchor RB,Neither
5,TE,Greg Dulcich,DEN,20,237,237,0,5/13/2022,221.5,Anchor RB,Neither
6,WR,Cooper Kupp,LAR,1,3,2.5,0.5,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,TE,Mark Andrews,BAL,2,22,18.7,3.3,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,RB,Aaron Jones,GB,3,27,26.3,0.7,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,QB,Lamar Jackson,BAL,4,46,44,2,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,DK Metcalf,SEA,5,51,42.7,8.3,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,JuJu Smith-Schuster,KC,6,70,62.1,7.9,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,Hunter Renfrow,LV,7,75,79.2,-4.2,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,QB,Trey Lance,SF,8,94,98,-4,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,RB,Kenneth Walker,SEA,9,99,98.4,0.6,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,Tyler Boyd,CIN,10,118,110,8,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,RB,Rachaad White,TB,11,123,132,-9,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,Corey Davis,NYJ,12,142,141.9,0.1,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,TE,Noah Fant,SEA,13,147,144,3,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,George Pickens,PIT,14,166,154,12,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,RB,JD Mckissic,WAS,15,171,167.1,3.9,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,RB,Raheem Mostert,MIA,16,190,178.2,11.8,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,RB,Donta Foreman,CAR,17,195,205.3,-10.3,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,Calvin Austin,PIT,18,214,214,0,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,WR,Tylan Wallace,BAL,19,219,219,0,5/13/2022,46.3,Anchor RB,Elite QB/TE
6,RB,Chris Evans,CIN,20,238,226.3,11.7,5/13/2022,46.3,Anchor RB,Elite QB/TE
7,WR,Stefon Diggs,BUF,1,12,10.4,1.6,5/14/2022,74.9,Zero RB,Elite QB
7,QB,Josh Allen,BUF,2,13,17.1,-4.1,5/14/2022,74.9,Zero RB,Elite QB
7,WR,Keenan Allen,LAC,3,36,28.4,7.6,5/14/2022,74.9,Zero RB,Elite QB
7,WR,DJ Moore,CAR,4,37,41.4,-4.4,5/14/2022,74.9,Zero RB,Elite QB
7,WR,Chris Godwin,TB,5,60,48.7,11.3,5/14/2022,74.9,Zero RB,Elite QB
7,RB,Travis Etienne,JAX,6,61,62.1,-1.1,5/14/2022,74.9,Zero RB,Elite QB
7,WR,Adam Thielen,MIN,7,84,80.1,3.9,5/14/2022,74.9,Zero RB,Elite QB
7,RB,AJ Dillon,GB,8,85,79.3,5.7,5/14/2022,74.9,Zero RB,Elite QB
7,TE,Dawson Knox,BUF,9,108,92.2,15.8,5/14/2022,74.9,Zero RB,Elite QB
7,WR,Christian Kirk,JAX,10,109,97.5,11.5,5/14/2022,74.9,Zero RB,Elite QB
7,RB,Rachaad White,TB,11,132,133.1,-1.1,5/14/2022,74.9,Zero RB,Elite QB
7,QB,Trevor Lawrence,JAX,12,133,137.7,-4.7,5/14/2022,74.9,Zero RB,Elite QB
7,TE,Irv Smith,MIN,13,156,149.3,6.7,5/14/2022,74.9,Zero RB,Elite QB
7,WR,Jahan Dotson,WAS,14,157,159.8,-2.8,5/14/2022,74.9,Zero RB,Elite QB
7,RB,JD Mckissic,WAS,15,180,167.1,12.9,5/14/2022,74.9,Zero RB,Elite QB
7,WR,Jalen Tolbert,DAL,16,181,192,-11,5/14/2022,74.9,Zero RB,Elite QB
7,TE,Hayden Hurst,CIN,17,204,199.1,4.9,5/14/2022,74.9,Zero RB,Elite QB
7,RB,Donta Foreman,CAR,18,205,203.2,1.8,5/14/2022,74.9,Zero RB,Elite QB
7,RB,Chris Evans,CIN,19,228,223.1,4.9,5/14/2022,74.9,Zero RB,Elite QB
7,RB,Dernest Johnson,CLE,20,229,213.5,15.5,5/14/2022,74.9,Zero RB,Elite QB
8,RB,Najee Harris,PIT,1,6,8.3,-2.3,5/14/2022,84.3,Superhero RB,Neither
8,RB,Alvin Kamara,NO,2,19,19.3,-0.3,5/14/2022,84.3,Superhero RB,Neither
8,WR,Tee Higgins,CIN,3,30,27.4,2.6,5/14/2022,84.3,Superhero RB,Neither
8,WR,DK Metcalf,SEA,4,43,42.7,0.3,5/14/2022,84.3,Superhero RB,Neither
8,WR,Gabriel Davis,BUF,5,54,53.9,0.1,5/14/2022,84.3,Superhero RB,Neither
8,WR,Elijah Moore,NYJ,6,67,69,-2,5/14/2022,84.3,Superhero RB,Neither
8,WR,Drake London,ATL,7,78,75.4,2.6,5/14/2022,84.3,Superhero RB,Neither
8,WR,Hunter Renfrow,LV,8,91,79.2,11.8,5/14/2022,84.3,Superhero RB,Neither
8,WR,Chris Olave,NO,9,102,94.3,7.7,5/14/2022,84.3,Superhero RB,Neither
8,QB,Derek Carr,LV,10,115,102.2,12.8,5/14/2022,84.3,Superhero RB,Neither
8,RB,Michael Carter,NYJ,11,126,119.9,6.1,5/14/2022,84.3,Superhero RB,Neither
8,QB,Justin Fields,CHI,12,139,127,12,5/14/2022,84.3,Superhero RB,Neither
8,TE,Robert Tonyan,GB,13,150,151.2,-1.2,5/14/2022,84.3,Superhero RB,Neither
8,WR,David Bell,CLE,14,163,149.7,13.3,5/14/2022,84.3,Superhero RB,Neither
8,RB,Khalil Herbert,CHI,15,174,173,1,5/14/2022,84.3,Superhero RB,Neither
8,TE,Evan Engram,JAX,16,187,175.8,11.2,5/14/2022,84.3,Superhero RB,Neither
8,WR,Brian Robinson,WAS,17,198,189.8,8.2,5/14/2022,84.3,Superhero RB,Neither
8,QB,Drew Lock,SEA,18,211,214.5,-3.5,5/14/2022,84.3,Superhero RB,Neither
8,TE,Adam Trautman,NO,19,222,225.2,-3.2,5/14/2022,84.3,Superhero RB,Neither
8,TE,OJ Howard,BUF,20,235,227.9,7.1,5/14/2022,84.3,Superhero RB,Neither
9,RB,Najee Harris,PIT,1,9,8.3,0.7,5/14/2022,32.9,Superhero RB,Elite TE
9,RB,Dandre Swift,DET,2,16,16.1,-0.1,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Keenan Allen,LAC,3,33,28.4,4.6,5/14/2022,32.9,Superhero RB,Elite TE
9,TE,Darren Waller,LV,4,40,41.1,-1.1,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Jerry Jeudy,DEN,5,57,56.9,0.1,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,JuJu Smith-Schuster,KC,6,64,61.2,2.8,5/14/2022,32.9,Superhero RB,Elite TE
9,QB,Dak Prescott,DAL,7,81,76.4,4.6,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Brandon Aiyuk,SF,8,88,86.5,1.5,5/14/2022,32.9,Superhero RB,Elite TE
9,QB,Trey Lance,SF,9,105,98.1,6.9,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Jameson Williams,DET,10,112,103.3,8.7,5/14/2022,32.9,Superhero RB,Elite TE
9,RB,Rachaad White,TB,11,129,132.1,-3.1,5/14/2022,32.9,Superhero RB,Elite TE
9,TE,Rob Gronkowski,TB,12,136,133.4,2.6,5/14/2022,32.9,Superhero RB,Elite TE
9,RB,Tyler Allgeier,ATL,13,153,154.2,-1.2,5/14/2022,32.9,Superhero RB,Elite TE
9,RB,Nyheim Hines,IND,14,160,161,-1,5/14/2022,32.9,Superhero RB,Elite TE
9,QB,Jared Goff,DET,15,177,178.3,-1.3,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Jalen Tolbert,DAL,16,184,192,-8,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,James Washington,DAL,17,201,203,-2,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Byron Pringle,CHI,18,208,209.9,-1.9,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Sterling Shepard,NYG,19,225,215,10,5/14/2022,32.9,Superhero RB,Elite TE
9,WR,Nick Westbrook-Ikhine,TEN,20,232,221.9,10.1,5/14/2022,32.9,Superhero RB,Elite TE
10,RB,Jonathan Taylor,IND,1,1,1.1,-0.1,5/14/2022,43.9,Anchor RB,Neither
10,WR,Tee Higgins,CIN,2,24,27.4,-3.4,5/14/2022,43.9,Anchor RB,Neither
10,WR,AJ Brown,PHI,3,25,22.8,2.2,5/14/2022,43.9,Anchor RB,Neither
10,WR,Gabriel Davis,BUF,4,48,53.9,-5.9,5/14/2022,43.9,Anchor RB,Neither
10,WR,Courtland Sutton,DEN,5,49,55.2,-6.2,5/14/2022,43.9,Anchor RB,Neither
10,WR,Deandre Hopkins,AZ,6,72,78.4,-6.4,5/14/2022,43.9,Anchor RB,Neither
10,WR,Drake London,ATL,7,73,75.4,-2.4,5/14/2022,43.9,Anchor RB,Neither
10,QB,Trey Lance,SF,8,96,98,-2,5/14/2022,43.9,Anchor RB,Neither
10,TE,Dalton Schulz,DAL,9,97,83.5,13.5,5/14/2022,43.9,Anchor RB,Neither
10,QB,Tua Tagovailoa,MIA,10,120,122.6,-2.6,5/14/2022,43.9,Anchor RB,Neither
10,RB,Chase Edmonds,MIA,11,121,111.3,9.7,5/14/2022,43.9,Anchor RB,Neither
10,TE,Robert Tonyan,GB,12,144,151.2,-7.2,5/14/2022,43.9,Anchor RB,Neither
10,RB,Rachaad White,TB,13,145,132.3,12.7,5/14/2022,43.9,Anchor RB,Neither
10,QB,Daniel Jones,NYG,14,168,158.5,9.5,5/14/2022,43.9,Anchor RB,Neither
10,WR,David Bell,CLE,15,169,149.7,19.3,5/14/2022,43.9,Anchor RB,Neither
10,RB,Brian Robinson,WAS,16,192,188.2,3.8,5/14/2022,43.9,Anchor RB,Neither
10,RB,Donta Foreman,CAR,17,193,203.1,-10.1,5/14/2022,43.9,Anchor RB,Neither
10,WR,Wandale Robinson,NYG,18,216,203.3,12.7,5/14/2022,43.9,Anchor RB,Neither
10,RB,Chris Evans,CIN,19,217,222.3,-5.3,5/14/2022,43.9,Anchor RB,Neither
10,TE,OJ Howard,BUF,20,240,227.9,12.1,5/14/2022,43.9,Anchor RB,Neither
11,WR,Justin Jefferson,MIN,1,4,5.3,-1.3,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,Deebo Samuel,SF,2,21,18.1,2.9,5/15/2022,67.5,Anchor RB,Elite TE
11,RB,Saquon Barkley,NYG,3,28,25.3,2.7,5/15/2022,67.5,Anchor RB,Elite TE
11,TE,Darren Waller,LV,4,45,41.1,3.9,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,Michael Pittman,IND,5,52,40.1,11.9,5/15/2022,67.5,Anchor RB,Elite TE
11,QB,Jalen Hurts,PHI,6,69,60.1,8.9,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,Elijah Moore,NYJ,7,77,67.8,9.2,5/15/2022,67.5,Anchor RB,Elite TE
11,TE,Dallas Goedert,PHI,8,93,83.2,9.8,5/15/2022,67.5,Anchor RB,Elite TE
11,QB,Trey Lance,SF,9,100,98.1,1.9,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,Christian Watson,GB,10,117,115.5,1.5,5/15/2022,67.5,Anchor RB,Elite TE
11,RB,Rhamondre Stevenson,NE,11,124,122,2,5/15/2022,67.5,Anchor RB,Elite TE
11,RB,Ronald Jones,KC,12,141,135.9,5.1,5/15/2022,67.5,Anchor RB,Elite TE
11,RB,Tyler Allgeier,ATL,13,148,154.2,-6.2,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,Jahan Dotson,WAS,14,165,159.8,5.2,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,George Pickens,PIT,15,172,154,18,5/15/2022,67.5,Anchor RB,Elite TE
11,RB,Tyrion Davis-Price,SF,16,189,180.7,8.3,5/15/2022,67.5,Anchor RB,Elite TE
11,RB,Sony Michel,MIA,17,196,214.2,-18.2,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,Quez Watkins,PHI,18,213,225.8,-12.8,5/15/2022,67.5,Anchor RB,Elite TE
11,WR,Danny Gray,SF,19,220,220,0,5/15/2022,67.5,Anchor RB,Elite TE
11,RB,Chris Evans,CIN,20,237,222.3,14.7,5/15/2022,67.5,Anchor RB,Elite TE
12,WR,Stefon Diggs,BUF,1,11,10.1,0.9,5/15/2022,96.2,Zero RB,Elite QB
12,WR,Ceedee Lamb,DAL,2,14,14.8,-0.8,5/15/2022,96.2,Zero RB,Elite QB
12,WR,DJ Moore,CAR,3,35,40.4,-5.4,5/15/2022,96.2,Zero RB,Elite QB
12,QB,Lamar Jackson,BAL,4,38,42.1,-4.1,5/15/2022,96.2,Zero RB,Elite QB
12,WR,JuJu Smith-Schuster,KC,5,59,61.1,-2.1,5/15/2022,96.2,Zero RB,Elite QB
12,RB,Travis Etienne,JAX,6,62,61.1,0.9,5/15/2022,96.2,Zero RB,Elite QB
12,QB,Dak Prescott,DAL,7,83,76.4,6.6,5/15/2022,96.2,Zero RB,Elite QB
12,WR,Hunter Renfrow,LV,8,86,79.2,6.8,5/15/2022,96.2,Zero RB,Elite QB
12,RB,Devin Singletary,BUF,9,107,96.8,10.2,5/15/2022,96.2,Zero RB,Elite QB
12,WR,Tyler Boyd,CIN,10,110,110.1,-0.1,5/15/2022,96.2,Zero RB,Elite QB
12,RB,Rachaad White,TB,11,131,132.3,-1.3,5/15/2022,96.2,Zero RB,Elite QB
12,RB,Ronald Jones,KC,12,134,136,-2,5/15/2022,96.2,Zero RB,Elite QB
12,RB,Darrell Henderson,LAR,13,155,152.2,2.8,5/15/2022,96.2,Zero RB,Elite QB
12,TE,Robert Tonyan,GB,14,158,151.1,6.9,5/15/2022,96.2,Zero RB,Elite QB
12,TE,Gerald Everett,LAC,15,179,180.1,-1.1,5/15/2022,96.2,Zero RB,Elite QB
12,WR,Jalen Tolbert,DAL,16,182,182,0,5/15/2022,96.2,Zero RB,Elite QB
12,TE,Noah Fant,SEA,17,203,144.3,58.7,5/15/2022,96.2,Zero RB,Elite QB
12,WR,Tylan Wallace,BAL,18,206,206,0,5/15/2022,96.2,Zero RB,Elite QB
12,RB,Hassan Haskins,TEN,19,227,218.6,8.4,5/15/2022,96.2,Zero RB,Elite QB
12,RB,Kenyan Drake,LV,20,230,219.1,10.9,5/15/2022,96.2,Zero RB,Elite QB
13,WR,Jamar Chase,CIN,1,6,4.8,1.2,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,TE,Mark Andrews,BAL,2,19,18.5,0.5,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,Javonte Williams,DEN,3,30,26.2,3.8,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,QB,Lamar Jackson,BAL,4,43,44.1,-1.1,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,WR,Chris Godwin,TB,5,54,48.3,5.7,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,WR,Rashod Bateman,BAL,6,67,68.6,-1.6,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,WR,Hunter Renfrow,LV,7,78,79.1,-1.1,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,WR,Brandon Aiyuk,SF,8,91,89.3,1.7,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,QB,Trey Lance,SF,9,102,98.1,3.9,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,WR,Chase Claypool,PIT,10,115,111,4,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,TE,Pat Freiermuth,PIT,11,126,118.2,7.8,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,Isaiah Spiller,LAC,12,139,134.3,4.7,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,WR,Jamison Crowder,BUF,13,150,148.1,1.9,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,Darrell Henderson,LAR,14,163,151.9,11.1,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,Khalil Herbert,CHI,15,174,172,2,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,Tyrion Davis-Price,SF,16,187,177,10,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,Brian Robinson,WAS,17,198,191.9,6.1,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,James White,NE,18,211,211,0,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,WR,Danny Gray,SF,19,222,222,0,5/16/2022,60.6,Anchor RB,Elite QB/TE
13,RB,Sony Michel,MIA,20,235,235,0,5/16/2022,60.6,Anchor RB,Elite QB/TE
14,TE,Travis Kelce,KC,1,9,11.3,-2.3,5/18/2022,71.6,Zero RB,Elite QB/TE
14,WR,Ceedee Lamb,DAL,2,16,15.9,0.1,5/18/2022,71.6,Zero RB,Elite QB/TE
14,WR,Tee Higgins,CIN,3,33,31.4,1.6,5/18/2022,71.6,Zero RB,Elite QB/TE
14,QB,Justin Herbert,LAC,4,40,33.6,6.4,5/18/2022,71.6,Zero RB,Elite QB/TE
14,WR,Marquise Brown,AZ,5,57,47.1,9.9,5/18/2022,71.6,Zero RB,Elite QB/TE
