User,Pts,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS
jchrist1732 (7),183.02,Matthew Stafford,LAR,QB,Aaron Jones,GB,RB,Damien Harris,NE,RB,Sony Michel,LAR,RB,A.J. Green,ARI,WR,Cedrick Wilson,DAL,WR,Davante Adams,GB,WR,Jakobi Meyers,NE,WR,Keenan Allen,LAC,WR,Odell Beckham,LAR,WR,Hunter Henry,NE,TE,Rob Gronkowski,TB,TE
shirl032 (7),182.98,Aaron Rodgers,GB,QB,Joe Burrow,CIN,QB,Aaron Jones,GB,RB,Devin Singletary,BUF,RB,Rhamondre Stevenson,NE,RB,DeVonta Smith,PHI,WR,Deebo Samuel,SF,WR,Diontae Johnson,PIT,WR,Julio Jones,TEN,WR,Mecole Hardman,KC,WR,Cameron Brate,TB,TE,George Kittle,SF,TE
fasman247 (33),182.9,Aaron Rodgers,GB,QB,Ronald Jones,TB,RB,Allen Lazard,GB,WR,Byron Pringle,KC,WR,Cole Beasley,BUF,WR,Demarcus Robinson,KC,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Marquez Valdes-Scantling,GB,WR,Tyreek Hill,KC,WR,Cameron Brate,TB,TE,Rob Gronkowski,TB,TE
kg1584 (16),182.88,Kyler Murray,ARI,QB,Ryan Tannehill,TEN,QB,AJ Dillon,GB,RB,Darrel Williams,KC,RB,Elijah Mitchell,SF,RB,Josh Jacobs,LV,RB,Chase Claypool,PIT,WR,Davante Adams,GB,WR,Deebo Samuel,SF,WR,Mike Evans,TB,WR,Josiah Deguara,GB,TE,Rob Gronkowski,TB,TE
redeemedwarriors (91),182.8,Aaron Rodgers,GB,QB,AJ Dillon,GB,RB,Aaron Jones,GB,RB,Devin Singletary,BUF,RB,Allen Lazard,GB,WR,Cole Beasley,BUF,WR,Diontae Johnson,PIT,WR,Gabriel Davis,BUF,WR,Julio Jones,TEN,WR,Marquez Valdes-Scantling,GB,WR,Darren Waller,LV,TE,Josiah Deguara,GB,TE
soup87 (2),182.76,Dak Prescott,DAL,QB,Damien Harris,NE,RB,Derrick Henry,TEN,RB,James Conner,ARI,RB,Amari Cooper,DAL,WR,Byron Pringle,KC,WR,CeeDee Lamb,DAL,WR,Davante Adams,GB,WR,Gabriel Davis,BUF,WR,Jakobi Meyers,NE,WR,Hunter Henry,NE,TE,Zach Ertz,ARI,TE
Windsortitan84,182.68,Aaron Rodgers,GB,QB,Mac Jones,NE,QB,AJ Dillon,GB,RB,Damien Harris,NE,RB,Leonard Fournette,TB,RB,Ronald Jones,TB,RB,Allen Lazard,GB,WR,Byron Pringle,KC,WR,Marquez Valdes-Scantling,GB,WR,Tyreek Hill,KC,WR,Hunter Henry,NE,TE,Rob Gronkowski,TB,TE
Gspice9 (3),182.66,Dak Prescott,DAL,QB,Kyler Murray,ARI,QB,Aaron Jones,GB,RB,Elijah Mitchell,SF,RB,James Conner,ARI,RB,Jonathan Taylor,IND,RB,Cooper Kupp,LAR,WR,Deebo Samuel,SF,WR,Tee Higgins,CIN,WR,Darren Waller,LV,TE,Hunter Henry,NE,TE,Mark Andrews,BAL,TE
aryanv,182.58,Joe Burrow,CIN,QB,Kyler Murray,ARI,QB,Aaron Jones,GB,RB,Chase Edmonds,ARI,RB,Darrel Williams,KC,RB,A.J. Green,ARI,WR,Odell Beckham,LAR,WR,Tee Higgins,CIN,WR,Tyler Boyd,CIN,WR,Tyreek Hill,KC,WR,Dalton Schultz,DAL,TE,Hunter Henry,NE,TE
delta3 (6),182.5,Matthew Stafford,LAR,QB,Ryan Tannehill,TEN,QB,Tom Brady,TB,QB,Cam Akers,LAR,RB,D'Onta Foreman,TEN,RB,Derrick Henry,TEN,RB,Najee Harris,PIT,RB,Allen Lazard,GB,WR,Brandon Aiyuk,SF,WR,Christian Kirk,ARI,WR,Dawson Knox,BUF,TE,Travis Kelce,KC,TE
fasman247 (24),182.4,Ben Roethlisberger,PIT,QB,Aaron Jones,GB,RB,D'Onta Foreman,TEN,RB,A.J. Brown,TEN,WR,Allen Lazard,GB,WR,Cole Beasley,BUF,WR,Davante Adams,GB,WR,Diontae Johnson,PIT,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Julio Jones,TEN,WR,Pat Freiermuth,PIT,TE
Danoob24 (5),182.38,Tom Brady,TB,QB,Damien Harris,NE,RB,Derrick Henry,TEN,RB,Joe Mixon,CIN,RB,Ronald Jones,TB,RB,Breshad Perriman,TB,WR,Christian Kirk,ARI,WR,Cole Beasley,BUF,WR,Emmanuel Sanders,BUF,WR,Tyler Boyd,CIN,WR,Rob Gronkowski,TB,TE,Travis Kelce,KC,TE
koooob (4),182.26,Kyler Murray,ARI,QB,Lamar Jackson,BAL,QB,Darrel Williams,KC,RB,Leonard Fournette,TB,RB,Ronald Jones,TB,RB,A.J. Green,ARI,WR,Antonio Brown,TB,WR,Deebo Samuel,SF,WR,Marquise Brown,BAL,WR,Mike Evans,TB,WR,George Kittle,SF,TE,Travis Kelce,KC,TE
TheZach10 (49),182.2,Tom Brady,TB,QB,AJ Dillon,GB,RB,Clyde Edwards-Helaire,KC,RB,James Conner,ARI,RB,Ke'Shawn Vaughn,TB,RB,Amari Cooper,DAL,WR,Breshad Perriman,TB,WR,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Mecole Hardman,KC,WR,Tyler Johnson,TB,WR,Rob Gronkowski,TB,TE
DoodleFuckinDo2 (8),182.2,Kyler Murray,ARI,QB,Tom Brady,TB,QB,Devin Singletary,BUF,RB,Ronald Jones,TB,RB,Cedrick Wilson,DAL,WR,Cole Beasley,BUF,WR,Cyril Grayson,TB,WR,Davante Adams,GB,WR,Deebo Samuel,SF,WR,Emmanuel Sanders,BUF,WR,George Kittle,SF,TE,Rob Gronkowski,TB,TE
plustin (53),182.08,Joe Burrow,CIN,QB,James Conner,ARI,RB,Joe Mixon,CIN,RB,Josh Jacobs,LV,RB,A.J. Green,ARI,WR,Davante Adams,GB,WR,Ja'Marr Chase,CIN,WR,Marquez Valdes-Scantling,GB,WR,Tyler Boyd,CIN,WR,Van Jefferson,LAR,WR,Dalton Schultz,DAL,TE,Tyler Higbee,LAR,TE
Steviebear (3),181.98,Kyler Murray,ARI,QB,Ryan Tannehill,TEN,QB,D'Onta Foreman,TEN,RB,Devin Singletary,BUF,RB,Ezekiel Elliott,DAL,RB,Amari Cooper,DAL,WR,CeeDee Lamb,DAL,WR,Julio Jones,TEN,WR,Stefon Diggs,BUF,WR,Tyreek Hill,KC,WR,Dalton Schultz,DAL,TE,Dawson Knox,BUF,TE
TheFFOracle (10),181.98,Jimmy Garoppolo,SF,QB,Ryan Tannehill,TEN,QB,Derrick Henry,TEN,RB,Devin Singletary,BUF,RB,Sony Michel,LAR,RB,A.J. Brown,TEN,WR,Mecole Hardman,KC,WR,Tyler Johnson,TB,WR,Tyreek Hill,KC,WR,Van Jefferson,LAR,WR,Rob Gronkowski,TB,TE,Tyler Higbee,LAR,TE
Brewercory5 (39),181.9,Jimmy Garoppolo,SF,QB,Clyde Edwards-Helaire,KC,RB,Darrel Williams,KC,RB,Leonard Fournette,TB,RB,Brandon Aiyuk,SF,WR,Christian Kirk,ARI,WR,Jakobi Meyers,NE,WR,Tyler Boyd,CIN,WR,Tyler Johnson,TB,WR,Tyreek Hill,KC,WR,Rob Gronkowski,TB,TE,Travis Kelce,KC,TE
rmfair (7),181.88,Joe Burrow,CIN,QB,Ryan Tannehill,TEN,QB,AJ Dillon,GB,RB,Darrel Williams,KC,RB,Elijah Mitchell,SF,RB,Breshad Perriman,TB,WR,Diontae Johnson,PIT,WR,Hunter Renfrow,LV,WR,Ja'Marr Chase,CIN,WR,Tyreek Hill,KC,WR,Dalton Schultz,DAL,TE,Josiah Deguara,GB,TE
SchaufDS (8),181.88,Kyler Murray,ARI,QB,Aaron Jones,GB,RB,Damien Harris,NE,RB,Ezekiel Elliott,DAL,RB,Josh Jacobs,LV,RB,A.J. Green,ARI,WR,Cooper Kupp,LAR,WR,Deebo Samuel,SF,WR,Randall Cobb,GB,WR,Dawson Knox,BUF,TE,Rob Gronkowski,TB,TE,Zach Ertz,ARI,TE
MLBmodel (17),181.8,Ben Roethlisberger,PIT,QB,Tom Brady,TB,QB,Ezekiel Elliott,DAL,RB,Leonard Fournette,TB,RB,Najee Harris,PIT,RB,Allen Lazard,GB,WR,Diontae Johnson,PIT,WR,Marquez Valdes-Scantling,GB,WR,Mike Evans,TB,WR,Van Jefferson,LAR,WR,C.J. Uzomah,CIN,TE,Pat Freiermuth,PIT,TE
redeemedwarriors (45),181.8,Jimmy Garoppolo,SF,QB,Mac Jones,NE,QB,AJ Dillon,GB,RB,Clyde Edwards-Helaire,KC,RB,Joe Mixon,CIN,RB,Leonard Fournette,TB,RB,Allen Lazard,GB,WR,Jakobi Meyers,NE,WR,Marquez Valdes-Scantling,GB,WR,Mecole Hardman,KC,WR,Tyler Boyd,CIN,WR,Travis Kelce,KC,TE
tutmcgirt (21),181.68,Dak Prescott,DAL,QB,Josh Allen,BUF,QB,Justin Herbert,LAC,QB,Austin Ekeler,LAC,RB,Sony Michel,LAR,RB,Tony Pollard,DAL,RB,A.J. Brown,TEN,WR,CeeDee Lamb,DAL,WR,Cooper Kupp,LAR,WR,Keenan Allen,LAC,WR,Dallas Goedert,PHI,TE,Jared Cook,LAC,TE
Mattdile3 (7),181.58,Josh Allen,BUF,QB,Elijah Mitchell,SF,RB,Ezekiel Elliott,DAL,RB,Tony Pollard,DAL,RB,Allen Lazard,GB,WR,Amari Cooper,DAL,WR,Brandon Aiyuk,SF,WR,Breshad Perriman,TB,WR,CeeDee Lamb,DAL,WR,Davante Adams,GB,WR,Darren Waller,LV,TE,George Kittle,SF,TE
Jacobstubbs (2),181.58,Aaron Rodgers,GB,QB,Joe Burrow,CIN,QB,D'Onta Foreman,TEN,RB,Devin Singletary,BUF,RB,Rhamondre Stevenson,NE,RB,Tony Pollard,DAL,RB,Amari Cooper,DAL,WR,Byron Pringle,KC,WR,Cedrick Wilson,DAL,WR,Marquez Valdes-Scantling,GB,WR,Dawson Knox,BUF,TE,Rob Gronkowski,TB,TE
DNICE (5),181.48,Aaron Rodgers,GB,QB,Patrick Mahomes,KC,QB,AJ Dillon,GB,RB,Clyde Edwards-Helaire,KC,RB,Allen Lazard,GB,WR,Byron Pringle,KC,WR,Keenan Allen,LAC,WR,Marquez Valdes-Scantling,GB,WR,Mecole Hardman,KC,WR,George Kittle,SF,TE,Josiah Deguara,GB,TE,Rob Gronkowski,TB,TE
Areevaderchi (4),181.44,Dak Prescott,DAL,QB,AJ Dillon,GB,RB,Darrel Williams,KC,RB,Devin Singletary,BUF,RB,Amari Cooper,DAL,WR,Isaiah McKenzie,BUF,WR,Mecole Hardman,KC,WR,Michael Gallup,DAL,WR,Stefon Diggs,BUF,WR,Zach Pascal,IND,WR,Dalton Schultz,DAL,TE,Travis Kelce,KC,TE
ArmandoMarsal (3),181.42,Dak Prescott,DAL,QB,Matthew Stafford,LAR,QB,Cam Akers,LAR,RB,Damien Harris,NE,RB,Tony Pollard,DAL,RB,CeeDee Lamb,DAL,WR,Julio Jones,TEN,WR,Odell Beckham,LAR,WR,Tyreek Hill,KC,WR,Van Jefferson,LAR,WR,Dalton Schultz,DAL,TE,Josiah Deguara,GB,TE
TheFFOracle,181.38,Carson Wentz,IND,QB,Patrick Mahomes,KC,QB,Darrel Williams,KC,RB,Ezekiel Elliott,DAL,RB,Jonathan Taylor,IND,RB,Amari Cooper,DAL,WR,Byron Pringle,KC,WR,Deebo Samuel,SF,WR,Michael Gallup,DAL,WR,Michael Pittman,IND,WR,Dalton Schultz,DAL,TE,Mark Andrews,BAL,TE
apergs07 (2),181.38,Kyler Murray,ARI,QB,Patrick Mahomes,KC,QB,AJ Dillon,GB,RB,Derrick Henry,TEN,RB,Joe Mixon,CIN,RB,Josh Jacobs,LV,RB,Breshad Perriman,TB,WR,Christian Kirk,ARI,WR,Diontae Johnson,PIT,WR,Hunter Renfrow,LV,WR,George Kittle,SF,TE,Josiah Deguara,GB,TE
Gambler99,181.38,Jimmy Garoppolo,SF,QB,Joe Burrow,CIN,QB,Ryan Tannehill,TEN,QB,Devin Singletary,BUF,RB,Josh Jacobs,LV,RB,Tony Pollard,DAL,RB,Allen Lazard,GB,WR,Cooper Kupp,LAR,WR,Emmanuel Sanders,BUF,WR,Van Jefferson,LAR,WR,Dalton Schultz,DAL,TE,George Kittle,SF,TE
csteyaert,181.34,Dak Prescott,DAL,QB,Derrick Henry,TEN,RB,Elijah Mitchell,SF,RB,Sony Michel,LAR,RB,CeeDee Lamb,DAL,WR,Christian Kirk,ARI,WR,Deebo Samuel,SF,WR,Hunter Renfrow,LV,WR,Jakobi Meyers,NE,WR,Julio Jones,TEN,WR,Dalton Schultz,DAL,TE,Travis Kelce,KC,TE
Quasi (9),181.32,Dak Prescott,DAL,QB,Tom Brady,TB,QB,Chase Edmonds,ARI,RB,Clyde Edwards-Helaire,KC,RB,James Conner,ARI,RB,Antonio Brown,TB,WR,Cooper Kupp,LAR,WR,Michael Gallup,DAL,WR,Mike Evans,TB,WR,Mike Williams,LAC,WR,Dalton Schultz,DAL,TE,George Kittle,SF,TE
Geoowl (3),181.28,Derek Carr,LV,QB,Jimmy Garoppolo,SF,QB,Kyler Murray,ARI,QB,Patrick Mahomes,KC,QB,James Conner,ARI,RB,Joe Mixon,CIN,RB,Christian Kirk,ARI,WR,Cole Beasley,BUF,WR,Diontae Johnson,PIT,WR,Hunter Renfrow,LV,WR,Stefon Diggs,BUF,WR,George Kittle,SF,TE
amicsta,181.2,Tom Brady,TB,QB,Clyde Edwards-Helaire,KC,RB,Devin Singletary,BUF,RB,Ronald Jones,TB,RB,A.J. Brown,TEN,WR,Allen Lazard,GB,WR,Breshad Perriman,TB,WR,Christian Kirk,ARI,WR,Odell Beckham,LAR,WR,Stefon Diggs,BUF,WR,Mark Andrews,BAL,TE,Rob Gronkowski,TB,TE
brdmc3,181.2,Jalen Hurts,PHI,QB,Justin Herbert,LAC,QB,Austin Ekeler,LAC,RB,Leonard Fournette,TB,RB,Tony Pollard,DAL,RB,Antonio Brown,TB,WR,Cyril Grayson,TB,WR,Keenan Allen,LAC,WR,Mike Evans,TB,WR,Mike Williams,LAC,WR,Rob Gronkowski,TB,TE,Travis Kelce,KC,TE
Danoob24 (7),181.18,Josh Allen,BUF,QB,Chase Edmonds,ARI,RB,Ezekiel Elliott,DAL,RB,Ke'Shawn Vaughn,TB,RB,Sony Michel,LAR,RB,CeeDee Lamb,DAL,WR,Cole Beasley,BUF,WR,Emmanuel Sanders,BUF,WR,Stefon Diggs,BUF,WR,Van Jefferson,LAR,WR,Darren Waller,LV,TE,Dawson Knox,BUF,TE
Steviebear (15),181.16,Joe Burrow,CIN,QB,Kyler Murray,ARI,QB,Chase Edmonds,ARI,RB,Elijah Mitchell,SF,RB,James Conner,ARI,RB,Najee Harris,PIT,RB,CeeDee Lamb,DAL,WR,Christian Kirk,ARI,WR,Ja'Marr Chase,CIN,WR,Tee Higgins,CIN,WR,Travis Kelce,KC,TE,Zach Ertz,ARI,TE
1334 (5),181.12,Matthew Stafford,LAR,QB,Derrick Henry,TEN,RB,Ezekiel Elliott,DAL,RB,Najee Harris,PIT,RB,Cedrick Wilson,DAL,WR,CeeDee Lamb,DAL,WR,Cooper Kupp,LAR,WR,Julio Jones,TEN,WR,Mecole Hardman,KC,WR,Van Jefferson,LAR,WR,George Kittle,SF,TE,Tyler Higbee,LAR,TE
pootnami (3),181.1,Joe Burrow,CIN,QB,Matthew Stafford,LAR,QB,Devin Singletary,BUF,RB,Ezekiel Elliott,DAL,RB,Jonathan Taylor,IND,RB,Tony Pollard,DAL,RB,Cedrick Wilson,DAL,WR,Mike Williams,LAC,WR,T.Y. Hilton,IND,WR,Van Jefferson,LAR,WR,Dalton Schultz,DAL,TE,Travis Kelce,KC,TE
Kirbins,181.08,Jalen Hurts,PHI,QB,Josh Allen,BUF,QB,Cam Akers,LAR,RB,Ezekiel Elliott,DAL,RB,Sony Michel,LAR,RB,Chase Claypool,PIT,WR,Deebo Samuel,SF,WR,Jakobi Meyers,NE,WR,Stefon Diggs,BUF,WR,Van Jefferson,LAR,WR,Dallas Goedert,PHI,TE,George Kittle,SF,TE
PHINS (17),181.02,Dak Prescott,DAL,QB,Joe Burrow,CIN,QB,Tom Brady,TB,QB,AJ Dillon,GB,RB,Sony Michel,LAR,RB,Allen Lazard,GB,WR,Davante Adams,GB,WR,Michael Pittman,IND,WR,Mike Evans,TB,WR,Tyler Boyd,CIN,WR,C.J. Uzomah,CIN,TE,Tyler Higbee,LAR,TE
comebackzinc (23),180.98,Mac Jones,NE,QB,Patrick Mahomes,KC,QB,Darrel Williams,KC,RB,James Conner,ARI,RB,Rhamondre Stevenson,NE,RB,Amari Cooper,DAL,WR,CeeDee Lamb,DAL,WR,Christian Kirk,ARI,WR,Jakobi Meyers,NE,WR,Tyreek Hill,KC,WR,Dalton Schultz,DAL,TE,Hunter Henry,NE,TE
ArmandoMarsal (7),180.92,Dak Prescott,DAL,QB,Matthew Stafford,LAR,QB,Rhamondre Stevenson,NE,RB,Sony Michel,LAR,RB,Tony Pollard,DAL,RB,Amari Cooper,DAL,WR,Cedrick Wilson,DAL,WR,CeeDee Lamb,DAL,WR,Odell Beckham,LAR,WR,Tyreek Hill,KC,WR,Cameron Brate,TB,TE,Tyler Higbee,LAR,TE
detpist2003,180.9,Kyler Murray,ARI,QB,Tom Brady,TB,QB,D'Onta Foreman,TEN,RB,Damien Harris,NE,RB,Najee Harris,PIT,RB,Deebo Samuel,SF,WR,Diontae Johnson,PIT,WR,Hunter Renfrow,LV,WR,Mecole Hardman,KC,WR,Mike Evans,TB,WR,George Kittle,SF,TE,Rob Gronkowski,TB,TE
JJourneay33 (41),180.88,Patrick Mahomes,KC,QB,Darrel Williams,KC,RB,Ezekiel Elliott,DAL,RB,James Conner,ARI,RB,A.J. Green,ARI,WR,Amari Cooper,DAL,WR,Cedrick Wilson,DAL,WR,Christian Kirk,ARI,WR,Demarcus Robinson,KC,WR,Tyreek Hill,KC,WR,Dalton Schultz,DAL,TE,Zach Ertz,ARI,TE
slhs23 (2),180.78,Dak Prescott,DAL,QB,Joe Burrow,CIN,QB,Clyde Edwards-Helaire,KC,RB,Joe Mixon,CIN,RB,Jonathan Taylor,IND,RB,Rhamondre Stevenson,NE,RB,A.J. Brown,TEN,WR,Breshad Perriman,TB,WR,Cedrick Wilson,DAL,WR,Cooper Kupp,LAR,WR,Tyler Boyd,CIN,WR,Cameron Brate,TB,TE
TheFFOracle (14),180.76,Dak Prescott,DAL,QB,Clyde Edwards-Helaire,KC,RB,Darrel Williams,KC,RB,Tony Pollard,DAL,RB,Byron Pringle,KC,WR,Cedrick Wilson,DAL,WR,CeeDee Lamb,DAL,WR,Cooper Kupp,LAR,WR,DeVonta Smith,PHI,WR,Tyreek Hill,KC,WR,Dallas Goedert,PHI,TE,Dalton Schultz,DAL,TE
BMilne21 (6),180.72,Matthew Stafford,LAR,QB,Ryan Tannehill,TEN,QB,Cam Akers,LAR,RB,D'Onta Foreman,TEN,RB,Derrick Henry,TEN,RB,Rhamondre Stevenson,NE,RB,Sony Michel,LAR,RB,Cooper Kupp,LAR,WR,Julio Jones,TEN,WR,Odell Beckham,LAR,WR,Tyler Johnson,TB,WR,Hunter Henry,NE,TE
bricker312 (32),180.7,Tom Brady,TB,QB,Clyde Edwards-Helaire,KC,RB,Elijah Mitchell,SF,RB,Rhamondre Stevenson,NE,RB,A.J. Brown,TEN,WR,Breshad Perriman,TB,WR,Davante Adams,GB,WR,DeVonta Smith,PHI,WR,Deebo Samuel,SF,WR,Jakobi Meyers,NE,WR,George Kittle,SF,TE,Rob Gronkowski,TB,TE
BIGBAWLER419 (7),180.7,Jimmy Garoppolo,SF,QB,Tom Brady,TB,QB,AJ Dillon,GB,RB,Aaron Jones,GB,RB,Darrel Williams,KC,RB,Najee Harris,PIT,RB,Allen Lazard,GB,WR,Breshad Perriman,TB,WR,Davante Adams,GB,WR,Gabriel Davis,BUF,WR,Mecole Hardman,KC,WR,Darren Waller,LV,TE
Krisone (2),180.68,Josh Allen,BUF,QB,Ryan Tannehill,TEN,QB,Darrell Henderson,LAR,RB,James Conner,ARI,RB,Jonathan Taylor,IND,RB,Tony Pollard,DAL,RB,Amari Cooper,DAL,WR,Antonio Brown,TB,WR,Brandon Aiyuk,SF,WR,Breshad Perriman,TB,WR,Tyreek Hill,KC,WR,Dalton Schultz,DAL,TE
Eaglezzz (50),180.68,Kyler Murray,ARI,QB,Mac Jones,NE,QB,Darrel Williams,KC,RB,James Conner,ARI,RB,Joe Mixon,CIN,RB,CeeDee Lamb,DAL,WR,Christian Kirk,ARI,WR,Ja'Marr Chase,CIN,WR,Kendrick Bourne,NE,WR,Tyreek Hill,KC,WR,Dalton Schultz,DAL,TE,Hunter Henry,NE,TE
Krausy13,180.64,Dak Prescott,DAL,QB,Kyler Murray,ARI,QB,Damien Harris,NE,RB,Ezekiel Elliott,DAL,RB,Jonathan Taylor,IND,RB,Tony Pollard,DAL,RB,Byron Pringle,KC,WR,Cole Beasley,BUF,WR,Deebo Samuel,SF,WR,Ja'Marr Chase,CIN,WR,Mark Andrews,BAL,TE,Travis Kelce,KC,TE
Fatbob (4),180.62,Aaron Rodgers,GB,QB,Jalen Hurts,PHI,QB,AJ Dillon,GB,RB,D'Onta Foreman,TEN,RB,James Conner,ARI,RB,Rhamondre Stevenson,NE,RB,Allen Lazard,GB,WR,DeVonta Smith,PHI,WR,Gabriel Davis,BUF,WR,Ja'Marr Chase,CIN,WR,Tee Higgins,CIN,WR,Zach Ertz,ARI,TE
kickerpointsff (3),180.6,Joe Burrow,CIN,QB,Tom Brady,TB,QB,D'Onta Foreman,TEN,RB,Ezekiel Elliott,DAL,RB,Joe Mixon,CIN,RB,Rhamondre Stevenson,NE,RB,Breshad Perriman,TB,WR,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Ja'Marr Chase,CIN,WR,Keenan Allen,LAC,WR,Zach Ertz,ARI,TE
OUTFISHING (3),180.58,Dak Prescott,DAL,QB,Joe Burrow,CIN,QB,Clyde Edwards-Helaire,KC,RB,Derrick Henry,TEN,RB,Tony Pollard,DAL,RB,CeeDee Lamb,DAL,WR,Cole Beasley,BUF,WR,Odell Beckham,LAR,WR,Tyreek Hill,KC,WR,C.J. Uzomah,CIN,TE,Hunter Henry,NE,TE,Tyler Higbee,LAR,TE
dirtroadboys (36),180.56,Kyler Murray,ARI,QB,Devin Singletary,BUF,RB,Elijah Mitchell,SF,RB,James Conner,ARI,RB,Najee Harris,PIT,RB,A.J. Brown,TEN,WR,A.J. Green,ARI,WR,Christian Kirk,ARI,WR,Stefon Diggs,BUF,WR,Tee Higgins,CIN,WR,Darren Waller,LV,TE,Travis Kelce,KC,TE
rmfair (9),180.48,Aaron Rodgers,GB,QB,Patrick Mahomes,KC,QB,Aaron Jones,GB,RB,Damien Harris,NE,RB,Darrel Williams,KC,RB,A.J. Brown,TEN,WR,Brandon Aiyuk,SF,WR,DeVonta Smith,PHI,WR,Hunter Renfrow,LV,WR,Tyler Boyd,CIN,WR,Josiah Deguara,GB,TE,Zach Ertz,ARI,TE
BowserBulldog,180.46,Dak Prescott,DAL,QB,Ryan Tannehill,TEN,QB,Ezekiel Elliott,DAL,RB,Josh Jacobs,LV,RB,Rhamondre Stevenson,NE,RB,A.J. Brown,TEN,WR,Christian Kirk,ARI,WR,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Emmanuel Sanders,BUF,WR,Rob Gronkowski,TB,TE,Zach Ertz,ARI,TE
croberts24,180.38,Jimmy Garoppolo,SF,QB,Patrick Mahomes,KC,QB,Clyde Edwards-Helaire,KC,RB,Derrick Henry,TEN,RB,James Conner,ARI,RB,Allen Lazard,GB,WR,Mecole Hardman,KC,WR,Nick Westbrook-Ikhine,TEN,WR,Tee Higgins,CIN,WR,Tyler Johnson,TB,WR,Hunter Henry,NE,TE,Rob Gronkowski,TB,TE
Mtmutombo (20),180.36,Aaron Rodgers,GB,QB,Dak Prescott,DAL,QB,Kyler Murray,ARI,QB,AJ Dillon,GB,RB,Leonard Fournette,TB,RB,Tony Pollard,DAL,RB,CeeDee Lamb,DAL,WR,Christian Kirk,ARI,WR,Hunter Renfrow,LV,WR,Tyreek Hill,KC,WR,Darren Waller,LV,TE,Dawson Knox,BUF,TE
bigjoe (3),180.28,Joe Burrow,CIN,QB,Kyler Murray,ARI,QB,James Conner,ARI,RB,Ronald Jones,TB,RB,A.J. Brown,TEN,WR,Brandon Aiyuk,SF,WR,Christian Kirk,ARI,WR,Davante Adams,GB,WR,Ja'Marr Chase,CIN,WR,Tee Higgins,CIN,WR,C.J. Uzomah,CIN,TE,Rob Gronkowski,TB,TE
PHINS (42),180.28,Jimmy Garoppolo,SF,QB,Joe Burrow,CIN,QB,Cam Akers,LAR,RB,Elijah Mitchell,SF,RB,Brandon Aiyuk,SF,WR,Deebo Samuel,SF,WR,Hunter Renfrow,LV,WR,Jauan Jennings,SF,WR,Mike Evans,TB,WR,Stefon Diggs,BUF,WR,George Kittle,SF,TE,Tyler Higbee,LAR,TE
JJourneay33 (23),180.2,Tom Brady,TB,QB,Clyde Edwards-Helaire,KC,RB,Damien Harris,NE,RB,Joe Mixon,CIN,RB,Breshad Perriman,TB,WR,Christian Kirk,ARI,WR,Cyril Grayson,TB,WR,Ja'Marr Chase,CIN,WR,Jakobi Meyers,NE,WR,Tee Higgins,CIN,WR,Tyler Boyd,CIN,WR,Rob Gronkowski,TB,TE
redeemedwarriors (47),180.2,Tom Brady,TB,QB,AJ Dillon,GB,RB,Cam Akers,LAR,RB,Darrel Williams,KC,RB,Zack Moss,BUF,RB,Allen Lazard,GB,WR,Cole Beasley,BUF,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Stefon Diggs,BUF,WR,Tyler Johnson,TB,WR,Rob Gronkowski,TB,TE
im50tyson (9),180.2,Derek Carr,LV,QB,Ryan Tannehill,TEN,QB,Aaron Jones,GB,RB,Derrick Henry,TEN,RB,Josh Jacobs,LV,RB,Najee Harris,PIT,RB,Davante Adams,GB,WR,Diontae Johnson,PIT,WR,Julio Jones,TEN,WR,Zay Jones,LV,WR,Darren Waller,LV,TE,Rob Gronkowski,TB,TE
StoneSourDiesel (8),180.12,Kyler Murray,ARI,QB,Matthew Stafford,LAR,QB,Darrel Williams,KC,RB,Derrick Henry,TEN,RB,James Conner,ARI,RB,Cooper Kupp,LAR,WR,Julio Jones,TEN,WR,Mecole Hardman,KC,WR,Odell Beckham,LAR,WR,Van Jefferson,LAR,WR,Geoff Swaim,TEN,TE,Zach Ertz,ARI,TE
BMilne21 (14),180.1,Tom Brady,TB,QB,AJ Dillon,GB,RB,Clyde Edwards-Helaire,KC,RB,Darrel Williams,KC,RB,Josh Jacobs,LV,RB,Ke'Shawn Vaughn,TB,RB,Davante Adams,GB,WR,Mecole Hardman,KC,WR,Mike Evans,TB,WR,Tyler Johnson,TB,WR,Cameron Brate,TB,TE,Darren Waller,LV,TE
TEBOWTime (5),180.06,Joe Burrow,CIN,QB,Ryan Tannehill,TEN,QB,Damien Harris,NE,RB,Joe Mixon,CIN,RB,Najee Harris,PIT,RB,Allen Lazard,GB,WR,Hunter Renfrow,LV,WR,Marquez Valdes-Scantling,GB,WR,Tee Higgins,CIN,WR,C.J. Uzomah,CIN,TE,Josiah Deguara,GB,TE,Travis Kelce,KC,TE
